"spo","meanW_rpomAlone","semW_rpomAlone","meanW_vib","semW_vib","meanW_mari","semW_mari","meanW_CC","semW_CC","gene","funct","NCBI","Vib_fold_diff","Mari_fold_diff","CC_fold_diff"
"SPO1072",1,0.16,1,0.056,0.91,0.13,0.88,0.12,"SPO1072","putative protein TIGR01033","SPO_RS05440",0,-0.13,-0.18
"SPO1073",1.1,0.079,0.99,0.13,1,0.08,1,0.099,"SPO1073","bordetella uptake gene family protein","SPO_RS05445",-0.15,-0.14,-0.14
"SPO1074",0.85,0.13,1.1,0.042,1,0.041,1,0.036,"SPO1074","hypothetical protein","SPO_RS05450",0.37,0.23,0.23
"SPO1075",1,NA,1.1,NA,0.98,NA,0.97,0.026,"SPO1075","hypothetical protein","SPO_RS05455",0.14,-0.029,-0.044
"SPO1076",0.99,0.03,0.98,0.049,0.97,0.03,0.98,0.023,"SPO1076","trkA-C domain protein","SPO_RS05460",-0.014,-0.029,-0.014
"SPO1077",1.1,0.039,0.99,0.045,1,0.033,1,0.063,"SPO1077","nitroreductase family protein","SPO_RS05465",-0.15,-0.14,-0.14
"SPO1078",0.81,0.16,1,0.031,0.9,0.11,1,0.015,"SPO1078","transcriptional regulator, LysR family","SPO_RS05470",0.3,0.15,0.3
"SPO1079",0.85,0.34,1.1,0.14,0.79,0.075,0.82,0.31,"SPO1079","L-lysine exporter, putative","SPO_RS05475",0.37,-0.1,-0.051
"SPO1080",1.1,0.11,1.1,0.024,1.1,0.013,1,0.1,"SPO1080","hypothetical protein","SPO_RS05480",0,0,-0.14
"SPO1081",1,0.034,0.95,0.034,0.99,0.03,1.1,0.054,"SPO1081","hypothetical protein","",-0.073,-0.014,0.14
"SPO1082",1.2,0.34,0.91,0.18,0.88,0.12,1.1,0.41,"betI","HTH-type transcriptional regulator BetI","SPO_RS05490",-0.4,-0.44,-0.12
"SPO1083",1,0.044,1,0.014,1,0.019,1,0.02,"betC","choline sulfatase","SPO_RS05495",0,0,0
"SPO1084",0.97,0.071,1,0.29,1.2,0.16,1.1,0.26,"SPO1084","hypothetical protein","SPO_RS05500",0.044,0.3,0.18
"SPO1085",0.93,0.02,0.87,0.058,0.9,0.052,0.87,0.056,"SPO1085","hypothetical protein","SPO_RS05505",-0.095,-0.047,-0.095
"SPO1086",0.89,0.14,1,0.037,1.1,0.04,0.77,0.26,"SPO1086","transcriptional regulator, TetR family","SPO_RS05510",0.17,0.3,-0.21
"SPO1087",0.96,0.052,0.9,0.029,0.98,0.036,1,0.043,"betT","choline transporter","SPO_RS05515",-0.092,0.029,0.058
"SPO1088",0.98,0.041,1,0.024,1,0.026,1.1,0.029,"betA","choline dehydrogenase","SPO_RS05520",0.029,0.029,0.17
"SPO1089",1,0.03,0.9,0.06,0.97,0.027,1,0.081,"SPO1089","hypothetical protein","SPO_RS05525",-0.15,-0.044,0
"SPO1090",1,0.029,0.98,0.023,1,0.01,0.98,0.024,"SPO1090","DNA-binding protein, putative","SPO_RS05530",-0.029,0,-0.029
"SPO1091",0.56,0.3,0.98,0.18,0.88,0.17,0.6,0.6,"SPO1091","YCII-related domain protein","SPO_RS05535",0.8,0.64,0.098
"SPO1092",1,0.036,1,0.034,0.94,0.015,0.94,0.035,"SPO1092","transcriptional regulator, LysR family","SPO_RS05540",0,-0.088,-0.088
"SPO1093",0.96,0.052,0.96,0.03,0.94,0.021,0.96,0.038,"SPO1093","drug resistance transporter, Bcr/CflA family","SPO_RS05545",0,-0.03,0
"SPO1094",0.16,0.16,0,0,0,0,0.39,0.23,"pccB","propionyl-CoA carboxylase, beta subunit","SPO_RS05550",-4.1,-4.1,1.2
"SPO1094a",1.1,0.022,0.98,0.016,1,0.013,1,0.024,"SPO1094a","hypothetical protein","SPO_RS05555",-0.17,-0.14,-0.14
"SPO1095",1,0.041,0.95,0.027,0.98,0.034,0.97,0.016,"SPO1095","hypothetical protein","SPO_RS22440",-0.073,-0.029,-0.044
"SPO1097",0.41,0.15,0.67,0.1,0.76,0.062,0.4,0.15,"SPO1097","hypothetical protein","SPO_RS05570",0.7,0.87,-0.035
"SPO1098",0.76,0.046,0.86,0.059,0.87,0.026,0.8,0.1,"SPO1098","hypothetical protein","SPO_RS05575",0.18,0.19,0.073
"SPO1101",0.22,0.15,0.57,0.19,0.21,0.14,0.35,0.21,"pccA","propionyl-CoA carboxylase, alpha subunit","SPO_RS05585",1.3,-0.064,0.65
"SPO1102",0,NA,1.3,0.28,0.83,NA,0,NA,"SPO1102","lipoprotein, putative","SPO_RS05590",7,6.4,0
"SPO1103",0.99,0.044,0.98,0.069,0.97,0.053,0.98,0.045,"SPO1103","hypothetical protein","",-0.014,-0.029,-0.014
"SPO1104",1.1,0.075,1,0.065,1.1,0.06,0.99,0.043,"SPO1104","hypothetical protein","SPO_RS05600",-0.14,0,-0.15
"SPO1106",1.1,0.09,0.9,0.1,1,0.07,0.62,0.24,"SPO1106","hypothetical protein","SPO_RS05610",-0.29,-0.14,-0.82
"SPO1107",0.98,0.036,1,0.033,0.96,0.034,0.97,0.015,"SPO1107","phosphinothricin N-acetyltransferase, putative","SPO_RS05615",0.029,-0.029,-0.015
"SPO1108",1,0.071,1,0.022,1,0.038,0.98,0.027,"SPO1108","DnaJ-like protein DjlA, putative","SPO_RS05620",0,0,-0.029
"SPO1109",0.91,0.02,1,0.02,0.96,0.044,0.95,0.024,"SPO1109","endonuclease/exonuclease/phosphatase family protein","SPO_RS05625",0.13,0.076,0.061
"SPO1110",1,0.075,0.96,0.049,1,0.013,0.93,0.064,"SPO1110","transcriptional regulator, LysR family","SPO_RS05635",-0.058,0,-0.1
"SPO1111",0.99,0.19,1,0.14,1.1,0.069,0.97,0.12,"SPO1111","hypothetical protein","SPO_RS05640",0.014,0.15,-0.029
"SPO1112",0.96,0.057,1,0.054,0.97,0.033,0.99,0.041,"SPO1112","TRAP transporter, periplasmic protein","SPO_RS05645",0.058,0.015,0.044
"SPO1113",0.99,0.032,1,0.03,1,0.019,1,0.017,"SPO1113","TRAP transporter, transmembrane protein, putative","SPO_RS05650",0.014,0.014,0.014
"SPO1114",1,0.028,1,0.06,1,0.02,0.98,0.034,"SPO1114","TRAP dicarboxylate transporter, DctM subunit","SPO_RS05655",0,0,-0.029
"SPO1115",1,0.021,0.98,0.031,0.98,0.016,1,0.02,"SPO1115","hypothetical protein","SPO_RS05660",-0.029,-0.029,0
"SPO1116",1,0.013,1,0.01,1,0.007,1,0.008,"SPO1116","hypothetical protein","SPO_RS05665",0,0,0
"SPO1117",0.5,0.061,0.6,0.057,0.52,0.071,0.62,0.058,"SPO1117","phosphatase, Ppx/GppA family","SPO_RS05670",0.26,0.055,0.3
"SPO1119",1.1,0.027,1,0.054,1.1,0.033,1,0.057,"SPO1119","membrane protein","SPO_RS05680",-0.14,0,-0.14
"SPO1120",0.66,0.084,0.84,0.045,0.86,0.067,0.87,0.044,"SPO1120","hypothetical protein","SPO_RS05685",0.34,0.38,0.39
"SPO1122",0.89,0.1,1,0.093,1.1,0.053,1.1,0.09,"SPO1122","hypothetical protein","SPO_RS05695",0.17,0.3,0.3
"SPO1125",0.86,0.3,1.1,0.015,0.88,0.098,1,0.06,"SPO1125","hypothetical protein","SPO_RS05710",0.35,0.033,0.22
"SPO1126",1.1,0.028,1,0.015,1,0.044,1.1,0.039,"SPO1126","cytochrome c family protein","SPO_RS05715",-0.14,-0.14,0
"SPO1127",0.98,0.048,0.66,0.11,1,0.081,0.9,0.1,"SPO1127","cytochrome c family protein","SPO_RS05720",-0.56,0.029,-0.12
"SPO1128",1.1,0.051,1.1,0.039,1.1,0.015,1.1,0.046,"SPO1128","hypothetical protein","SPO_RS05725",0,0,0
"SPO1129",1,0.047,1.1,0.017,1,0.025,1,0.029,"SPO1129","hypothetical protein","SPO_RS05730",0.14,0,0
"SPO1130",1.2,0.18,1.1,0.12,1,0.093,0.99,0.13,"SPO1130","thioesterase family protein","SPO_RS05735",-0.12,-0.26,-0.28
"SPO1131",1.1,0.037,1,0.037,1,0.039,1,0.02,"SPO1131","glycine betaine/proline ABC transporter, periplasmic substrate-binding protein","SPO_RS05740",-0.14,-0.14,-0.14
"SPO1132",0.97,0.043,1,0.047,1,0.015,1.1,0.056,"SPO1132","glycine betaine/proline ABC transporter, ATP-binding protein","SPO_RS05745",0.044,0.044,0.18
"SPO1133",0.9,0.067,0.97,0.026,0.97,0.027,0.97,0.045,"SPO1133","glycine betaine/proline ABC transporter, permease protein","SPO_RS05750",0.11,0.11,0.11
"SPO1134",1,0.14,1,0.055,0.98,0.047,1,0.06,"SPO1134","NnrU family protein","SPO_RS05755",0,-0.029,0
"SPO1135",1.1,0.03,1,0.036,0.94,0.038,1.1,0.049,"SPO1135","hypothetical protein","SPO_RS05760",-0.14,-0.22,0
"SPO1136",0.94,0.046,0.91,0.035,0.94,0.04,0.93,0.058,"atf","Diaminobutyric acid transaminase","SPO_RS05765",-0.046,0,-0.015
"SPO1137",0.88,0.038,0.93,0.027,0.89,0.054,0.89,0.021,"ssd","Aspartate-semialdehyde dehydrogenase","SPO_RS05770",0.079,0.016,0.016
"SPO1138",0.76,0.11,0.98,0.053,0.92,0.017,0.87,0.063,"asnC","asnC transcriptional regulator","SPO_RS05775",0.36,0.27,0.19
"SPO1139",1,0.042,0.96,0.026,0.93,0.04,0.9,0.06,"eutE","ectoine utilization protein EutE","SPO_RS05780",-0.058,-0.1,-0.15
"SPO1140",0.91,0.066,0.95,0.032,0.94,0.044,0.93,0.059,"eutD","Ectoine hydrolase","SPO_RS05785",0.061,0.046,0.031
"SPO1141",1,0.17,0.88,0.085,0.87,0.062,0.9,0.17,"eutC","ornithine cyclodeaminase/mu-crystallin family protein","SPO_RS05790",-0.18,-0.2,-0.15
"SPO1142",0.92,0.018,1,0.033,0.92,0.027,0.92,0.025,"eutB","ectoine utilization protein EutB","SPO_RS05795",0.12,0,0
"SPO1143",0.83,0.067,0.82,0.061,0.98,0.025,0.86,0.094,"eutA","Ectoine utilization protein EutA","SPO_RS05800",-0.017,0.24,0.051
"SPO1144",0.94,0.12,0.97,0.088,0.98,0.05,0.92,0.043,"SPO1144","universal stress protein family protein","SPO_RS05805",0.045,0.06,-0.031
"SPO1145",0.97,0.044,1,0.031,1,0.029,1,0.025,"uehC","Ectoine/5-hydroxyectoine TRAP transporter, periplasmic binding protein","SPO_RS05810",0.044,0.044,0.044
"SPO1146",0.9,0.026,0.98,0.054,1,0.017,0.98,0.044,"uehB","Ectoine/5-hydroxyectoine TRAP transporter, small integral membrane protein","SPO_RS05815",0.12,0.15,0.12
"SPO1147",0.9,0.031,0.92,0.023,0.94,0.034,0.9,0.066,"uehA","Ectoine/5-hydroxyectoine TRAP transporter, large integral membrane protein","SPO_RS05820",0.031,0.062,0
"SPO1148",1,0.057,1,0.042,1,0.034,0.94,0.024,"enuR","Ectoine/5-hydroxyectoine transcriptional regulator","SPO_RS05825",0,0,-0.088
"SPO1150",1.2,0.066,1,0.15,1.1,0.086,1,0.055,"SPO1150","RNA methyltransferase, TrmH family, group 3","SPO_RS05830",-0.26,-0.12,-0.26
"SPO1151",1.1,0.42,0.88,NA,0.97,NA,0.93,NA,"SPO1151","hypothetical protein","SPO_RS05835",-0.32,-0.18,-0.24
"SPO1152",1.1,0.035,0.97,0.024,0.98,0.037,0.99,0.056,"SPO1152","twin-arginine translocation pathway signal sequence domain protein, putative","SPO_RS05840",-0.18,-0.17,-0.15
"SPO1153",1,0.11,0.98,0.076,0.98,0.028,0.97,0.095,"SPO1153","CoA-binding domain protein","SPO_RS05845",-0.029,-0.029,-0.044
"SPO1154",1,0.065,1,0.026,1,0.033,0.95,0.03,"SPO1154","lipoprotein, putative","SPO_RS05850",0,0,-0.073
"SPO1155",0.049,0.049,0.35,0.22,0,0,0.16,0.16,"hisE","Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)","SPO_RS05855",2.6,-2.6,1.5
"SPO1156",NA,NA,NA,NA,1.7,NA,NA,NA,"hisF","imidazole glycerol phosphate synthase, cyclase subunit","SPO_RS05860",NA,NA,NA
"SPO1159",0.9,0.12,0.75,0.26,0.92,0.058,0.87,0.062,"SPO1159","hypothetical protein","SPO_RS05875",-0.26,0.031,-0.048
"SPO1160",0.95,0.055,0.97,0.022,0.95,0.017,0.91,0.038,"SPO1160","hypothetical protein","SPO_RS05880",0.03,0,-0.061
"SPO1161",0.98,0.018,0.94,0.046,1,0.018,1,0.023,"SPO1161","transcriptional regulator, AraC family","SPO_RS05885",-0.06,0.029,0.029
"SPO1164",1,0.13,1.1,0.084,0.96,0.051,0.91,0.13,"SPO1164","hypothetical protein","SPO_RS05900",0.14,-0.058,-0.13
"SPO1165",0.96,0.14,0.96,0.1,1,0.05,0.96,0.037,"SPO1165","hypothetical protein","SPO_RS05905",0,0.058,0
"SPO1166",1,0.059,0.99,0.045,1,0.025,1,0.039,"SPO1166","aminotransferase, class III family","SPO_RS05910",-0.014,0,0
"SPO1168",0.72,0.37,0.99,0.33,0.69,0.35,0.92,0.32,"SPO1168","hypothetical protein","SPO_RS05920",0.45,-0.061,0.35
"SPO1171",1.1,0.019,0.99,0.022,0.97,0.012,0.99,0.01,"pyc","pyruvate carboxylase","SPO_RS05935",-0.15,-0.18,-0.15
"SPO1172",1.2,0.045,1.1,0.053,1,0.027,1,0.028,"SPO1172","FMN-dependent alpha-hydroxy acid dehydrogenase family protein","SPO_RS05940",-0.12,-0.26,-0.26
"SPO1173",1.1,0.06,0.98,0.09,1,0.079,0.92,0.07,"SPO1173","diguanylate cyclase, putative","SPO_RS05945",-0.17,-0.14,-0.26
"SPO1174",0.97,0.061,0.96,0.017,0.95,0.041,0.95,0.06,"SPO1174","DNA helicase II, putative","SPO_RS05950",-0.015,-0.03,-0.03
"SPO1175",0.98,0.076,0.97,0.023,0.99,0.045,0.98,0.036,"SPO1175","hypothetical protein","SPO_RS05955",-0.015,0.014,0
"SPO1176",1,0.016,1,0.031,0.94,0.028,1,0.019,"SPO1176","Ser/Thr protein phosphatase family protein","SPO_RS05960",0,-0.088,0
"SPO1181",1.1,0.16,1.1,0.027,0.92,NA,NA,NA,"SPO1181","penicillin-binding protein","SPO_RS05985",0,-0.26,NA
"SPO1185",1,0.006,1,0.007,1,0.008,1,0.011,"SPO1185","hypothetical protein","SPO_RS06005",0,0,0
"SPO1186",0.8,0.015,0.76,0.039,0.83,0.013,0.76,0.024,"SPO1186","TPR domain protein","SPO_RS06010",-0.073,0.052,-0.073
"SPO1188",0.99,0.062,0.99,0.043,0.99,0.038,0.95,0.041,"SPO1188","putative protein TIGR00275","SPO_RS06020",0,0,-0.059
"SPO1189",1,0.018,1.1,0.058,1.1,0.075,1.2,0.045,"SPO1189","hypothetical protein","SPO_RS06025",0.14,0.14,0.26
"SPO1190",0.86,0.14,0.9,0.12,0.96,0.14,0.63,0.31,"SPO1190","transcriptional regulator family protein","SPO_RS06030",0.065,0.16,-0.44
"SPO1191",0.74,0.14,0.7,0.37,0.84,0.15,0.77,0.22,"gst","glutathione S-transferase","SPO_RS06035",-0.079,0.18,0.057
"SPO1192",0.6,0.4,0.53,0.29,0.64,0.32,1,0.027,"SPO1192","hypothetical protein","SPO_RS06040",-0.18,0.092,0.73
"SPO1194",0.71,NA,NA,NA,0.97,NA,NA,NA,"SPO1194","cell division protein FtsW","SPO_RS06050",NA,0.44,NA
"SPO1197",1.1,0.051,1.1,0.055,0.99,0.044,0.98,0.048,"SPO1197","amino acid permease","SPO_RS06065",0,-0.15,-0.17
"SPO1199",0.94,0.23,0.82,0.42,1.2,0.16,0.87,0.45,"SPO1199","hypothetical protein","SPO_RS06085",-0.19,0.35,-0.11
"SPO1204",0.98,0.065,0.95,0.082,0.84,0.11,0.95,0.064,"ftsZ","cell division protein FtsZ","SPO_RS06110",-0.044,-0.22,-0.044
"SPO1205",NA,NA,NA,NA,NA,NA,1.3,NA,"lpxC","UDP-3-0-acyl N-acetylglucosamine deacetylase","SPO_RS06115",NA,NA,NA
"SPO1206",0.72,0.12,0.94,0.083,0.91,0.071,0.57,0.2,"SPO1206","competence lipoprotein ComL, putative","SPO_RS06120",0.38,0.33,-0.33
"SPO1207",1.1,0.02,0.91,0.061,1,0.008,1.1,0.054,"recN","DNA repair protein RecN","SPO_RS06125",-0.27,-0.14,0
"SPO1208",1.2,0.22,0.92,0.046,0.85,0.024,0.52,0.52,"SPO1208","voltage-gated chloride channel family protein","SPO_RS06130",-0.38,-0.49,-1.2
"SPO1209",1,0.034,1,0.016,1,0.014,0.98,0.029,"SPO1209","MlrC domain protein","SPO_RS06135",0,0,-0.029
"SPO1210",1.1,0.026,0.99,0.012,1,0.023,1,0.025,"SPO1210","oligopeptide ABC transporter, periplasmic oligopeptide-binding protein","SPO_RS06140",-0.15,-0.14,-0.14
"SPO1211",1.1,0.019,1,0.039,1,0.019,1,0.038,"SPO1211","oligopeptide ABC transporter, permease protein","SPO_RS06145",-0.14,-0.14,-0.14
"SPO1212",1,0.012,0.99,0.037,1,0.025,1,0.031,"SPO1212","oligopeptide ABC transporter, permease protein","SPO_RS06150",-0.014,0,0
"SPO1213",0.98,0.02,0.99,0.015,0.9,0.008,0.98,0.049,"SPO1213","oligopeptide ABC transporter, ATP-binding protein","SPO_RS06155",0.014,-0.12,0
"SPO1214",0.98,0.03,1,0.021,0.98,0.007,0.99,0.034,"SPO1214","hippurate hydrolase","SPO_RS06160",0.029,0,0.014
"SPO1215",0.96,0.075,1,0.032,1,0.034,0.96,0.037,"SPO1215","peptidase, M20/M25/M40 family","SPO_RS06165",0.058,0.058,0
"SPO1216",0.84,0.045,0.86,0.046,0.91,0.029,0.89,0.015,"SPO1216","hypothetical protein","SPO_RS06170",0.034,0.11,0.082
"SPO1217",0.89,0.011,0.88,0.089,0.8,0.074,0.92,0.1,"SPO1217","DNA-binding protein, putative","SPO_RS06175",-0.016,-0.15,0.047
"SPO1218",0.94,0.018,0.93,0.012,0.92,0.018,0.92,0.012,"SPO1218","site-specific recombinase, phage integrase family","SPO_RS06190",-0.015,-0.031,-0.031
"SPO1219",1.1,0.004,1,0.012,1,0.005,1,0.005,"SPO1219","site-specific recombinase, phage integrase family","SPO_RS06195",-0.14,-0.14,-0.14
"SPO1220",0.94,0.013,0.97,0.017,0.96,0.015,0.94,0.035,"SPO1220","hypothetical protein","SPO_RS06200",0.045,0.03,0
"SPO1221",0.99,0.005,0.99,0.006,0.99,0.008,1,0.004,"SPO1221","hypothetical protein","SPO_RS22805",0,0,0.014
"SPO1222",0.92,0.014,0.89,0.014,0.93,0.007,0.93,0.005,"SPO1222","site-specific recombinase, resolvase family","SPO_RS06210",-0.047,0.015,0.015
"SPO1223",0.93,0.05,1,0.081,0.91,0.074,0.92,0.046,"SPO1223","hypothetical protein","SPO_RS06215",0.1,-0.031,-0.015
"SPO1224",0.91,0.023,0.91,0.019,0.91,0.044,0.92,0.026,"SPO1224","hypothetical protein","SPO_RS06220",0,0,0.016
"SPO1225",0.74,0.16,0.7,0.24,0.93,0.1,0.79,0.058,"SPO1225","hypothetical protein","",-0.079,0.33,0.093
"SPO1226",0.93,0.013,0.97,0.007,0.95,0.023,0.96,0.013,"SPO1226","lipoprotein, putative","SPO_RS22815",0.06,0.03,0.045
"SPO1226a",0.93,0.033,0.94,0.018,0.97,0.015,1,0.019,"SPO1226a","hypothetical protein","SPO_RS22820",0.015,0.06,0.1
"SPO1227",0.95,0.014,0.95,0.024,0.96,0.016,0.97,0.025,"SPO1227","hypothetical protein","SPO_RS06235",0,0.015,0.03
"SPO1228",0.91,0.032,0.92,0.023,0.93,0.015,0.96,0.029,"SPO1228","hypothetical protein","SPO_RS06240",0.016,0.031,0.076
"SPO1229",0.94,0.03,0.91,0.031,0.92,0.013,0.96,0.041,"SPO1229","hypothetical protein","SPO_RS06250",-0.046,-0.031,0.03
"SPO1230",0.97,0.014,0.92,0.008,0.95,0.016,0.93,0.009,"SPO1230","hypothetical protein","SPO_RS22145",-0.076,-0.03,-0.06
"SPO1231",0.9,0.02,0.96,0.023,0.94,0.018,0.95,0.009,"SPO1231","hypothetical protein","SPO_RS06260",0.092,0.062,0.077
"SPO1232",0.88,0.037,0.91,0.058,0.9,0.015,0.84,0.049,"SPO1232","DNA-binding protein, H-NS family","SPO_RS06265",0.048,0.032,-0.066
"SPO1233",0.91,0.019,0.93,0.006,0.93,0.006,0.92,0.005,"SPO1233","hypothetical protein","SPO_RS06270",0.031,0.031,0.016
"SPO1234",1,0.013,1,0.015,1,0.013,1,0.018,"SPO1234","hypothetical protein","SPO_RS06275",0,0,0
"SPO1235",0.98,0.006,0.97,0.006,0.98,0.005,0.96,0.006,"SPO1235","hypothetical protein","SPO_RS06285",-0.015,0,-0.029
"SPO1236",0.96,0.008,0.97,0.023,0.98,0.02,0.99,0.011,"SPO1236","hypothetical protein","SPO_RS06290",0.015,0.029,0.044
"SPO1237",0.94,0.014,0.95,0.008,0.95,0.009,0.96,0.006,"SPO1237","hypothetical protein","SPO_RS06295",0.015,0.015,0.03
"SPO1240",0.44,0.1,0.83,0.068,0.58,0.033,0.83,0.052,"SPO1240","type I secretion outer membrane protein, TolC family","SPO_RS06315",0.9,0.39,0.9
"SPO1241",1.1,0.01,1.1,0.014,1.1,0.016,1,0.035,"SPO1241","hypothetical protein","SPO_RS06320",0,0,-0.14
"SPO1243",1,0.053,0.97,0.14,1,0.092,1,0.11,"SPO1243","hypothetical protein","",-0.044,0,0
"SPO1244",1.2,0.16,1,0.2,1.1,0.092,1,0.14,"efp","translation elongation factor P","SPO_RS06335",-0.26,-0.12,-0.26
"SPO1245",1,0.026,1.1,0.015,1,0.019,1,0.021,"SPO1245","ABC transporter, permease protein","SPO_RS06340",0.14,0,0
"SPO1246",0.57,0.14,0.8,0.06,0.67,0.036,0.78,0.11,"SPO1246","aminomethyl transferase family protein","SPO_RS06345",0.48,0.23,0.45
"SPO1247",0.87,0.065,0.9,0.084,0.89,0.022,0.86,0.05,"SPO1247","glycosyl transferase, group 2 family protein","SPO_RS06350",0.048,0.032,-0.016
"SPO1249",1.1,0.017,1,0.025,1,0.015,1,0.009,"SPO1249","paraquat-inducible protein, putative","SPO_RS06365",-0.14,-0.14,-0.14
"SPO1250",1.2,0.14,1.2,0.069,1.1,0.077,1,0.078,"SPO1250","lipoprotein, putative","SPO_RS06370",0,-0.12,-0.26
"SPO1251",0.98,0.052,1,0.051,0.96,0.056,0.9,0.091,"SPO1251","hypothetical protein","SPO_RS06375",0.029,-0.029,-0.12
"SPO1252a",1.1,0.063,1.1,0.041,1.1,0.023,1.1,0.038,"SPO1252a","Transcriptional regulator","SPO_RS22455",0,0,0
"SPO1254",1,0.035,1.1,0.031,1.1,0.059,1.1,0.01,"SPO1254","hypothetical protein","SPO_RS06390",0.14,0.14,0.14
"SPO1255",1.1,0.032,1.1,0.042,1,0.073,1,0.068,"SPO1255","alkylhydroperoxidase AhpD family core domain protein","SPO_RS06395",0,-0.14,-0.14
"SPO1256",0.94,0.07,0.99,0.11,0.95,0.047,0.89,0.031,"ppk2","polyphosphate kinase 2","SPO_RS06400",0.074,0.015,-0.078
"SPO1257",1,0.024,0.93,0.052,0.97,0.02,1,0.078,"SPO1257","glutathione S-transferase family protein","SPO_RS06405",-0.1,-0.044,0
"SPO1259",1,0.06,0.99,0.058,1,0.03,0.93,0.021,"SPO1259","hypothetical protein","SPO_RS06415",-0.014,0,-0.1
"SPO1260",1.1,0.057,1,0.02,1,0.028,1,0.041,"SPO1260","MATE efflux family protein","SPO_RS06420",-0.14,-0.14,-0.14
"SPO1261",1.3,NA,1.2,0.069,0.94,NA,NA,NA,"SPO1261","transcriptional regulator, MarR family","SPO_RS06425",-0.11,-0.46,NA
"SPO1262",0.94,0.026,0.97,0.022,0.97,0.032,0.85,0.1,"SPO1262","hypothetical protein","SPO_RS06430",0.045,0.045,-0.14
"SPO1263",1.1,0.097,1.1,0.006,1,0.065,1,0.012,"SPO1263","hypothetical protein","SPO_RS06435",0,-0.14,-0.14
"SPO1264",0.89,0.015,0.99,0.049,0.96,0.027,1,0.023,"aspC-2","aspartate aminotransferase","SPO_RS06440",0.15,0.11,0.17
"SPO1265",0,0,0.43,0.43,0.89,0.009,0.55,0.35,"SPO1265","DNA-binding protein, putative","SPO_RS06445",5.5,6.5,5.8
"SPO1267",1,0.042,1.1,0.16,1,NA,1.1,NA,"SPO1267","transcriptional regulator, MarR family","SPO_RS06455",0.14,0,0.14
"SPO1268",0.99,0.16,1,0.12,1.1,0.082,1.1,0.11,"SPO1268","lipoprotein, putative","SPO_RS06460",0.014,0.15,0.15
"SPO1269",NA,NA,1.1,0.061,NA,NA,NA,NA,"SPO1269","hypothetical protein","SPO_RS06465",NA,NA,NA
"SPO1270",0.89,0.093,0.8,0.098,0.68,0.34,0.99,0.089,"SPO1270","lactoylglutathione lyase, putative","SPO_RS06470",-0.15,-0.38,0.15
"SPO1271",1,0.023,1,0.042,1,0.028,1,0.025,"SPO1271","hypothetical protein","SPO_RS06475",0,0,0
"SPO1272",1,0.032,1,0.018,1,0.016,1,0.022,"SPO1272","hypothetical protein","SPO_RS06480",0,0,0
"SPO1274",0.99,0.015,0.98,0.021,1,0.019,1,0.02,"SPO1274","hypothetical protein","",-0.014,0.014,0.014
"SPO1275",1.1,0.1,1,0.065,1,0.064,1.1,0.08,"SPO1275","cold shock family protein","SPO_RS06495",-0.14,-0.14,0
"SPO1276",0.31,0.31,1.2,0.025,0.86,0.079,1.1,0.078,"SPO1276","ArsC family protein","SPO_RS06500",1.9,1.4,1.8
"SPO1277",1,0.012,0.96,0.027,1,0.021,1,0.024,"SPO1277","hypothetical protein","SPO_RS06505",-0.058,0,0
"SPO1278",1,0.037,0.99,0.054,0.98,0.22,0.92,0.034,"SPO1278","hypothetical protein","SPO_RS06510",-0.014,-0.029,-0.12
"SPO1279",1,0.082,1,0.1,1.1,0.13,0.95,0.14,"SPO1279","hypothetical protein","SPO_RS06515",0,0.14,-0.073
"SPO1280",0.97,0.057,0.91,0.044,1,0.03,0.92,0.038,"SPO1280","hypothetical protein","SPO_RS06520",-0.091,0.044,-0.076
"SPO1284",1.1,0.016,1,0.017,1,0.01,1,0.026,"SPO1284","transcriptional regulator, ArsR family","SPO_RS06540",-0.14,-0.14,-0.14
"SPO1285",1,0.053,0.94,0.078,0.94,0.088,0.93,0.003,"SPO1285","hypothetical protein","SPO_RS06545",-0.088,-0.088,-0.1
"SPO1286",1,0.051,1.1,0.07,0.94,0.05,0.92,0.12,"SPO1286","hypothetical protein","SPO_RS06550",0.14,-0.088,-0.12
"SPO1287",0.96,0.13,0.66,0.26,0.85,0.045,0.81,0.12,"SPO1287","glyoxalase family protein","SPO_RS06555",-0.53,-0.17,-0.24
"SPO1288",0.88,0.023,0.9,0.035,0.89,0.042,0.84,0.034,"SPO1288","hypothetical protein","SPO_RS06560",0.032,0.016,-0.066
"SPO1289",0.99,0.059,0.99,0.051,1,0.027,0.96,0.014,"SPO1289","hydrolase, alpha/beta fold family","SPO_RS06565",0,0.014,-0.044
"SPO1290",1,0.06,0.99,0.087,1,0.074,1.1,0.075,"SPO1290","hypothetical protein","SPO_RS06570",-0.014,0,0.14
"SPO1291",0.99,0.062,0.98,0.04,1,0.027,1,0.045,"phaZ","polyhydroxyalkanoate depolymerase, intracellular","SPO_RS06575",-0.014,0.014,0.014
"SPO1292",0.25,0.25,0.74,0.043,0.52,0.26,0.86,0.11,"phaC","poly(3-hydroxyalkanoate) polymerase","SPO_RS06580",1.5,1,1.7
"SPO1293",1,0.047,0.94,0.051,0.96,0.048,0.91,0.068,"phaP","phasin, PhaP","SPO_RS06585",-0.088,-0.058,-0.13
