spo,mean_rpomAlone,lwrCL_rpomAlone,uprCL_rpomAlone,naCount_rpomAlone,mean_vib,lwrCL_vib,uprCL_vib,naCount_vib,mean_mari,lwrCL_mari,uprCL_mari,naCount_mari,mean_CC,lwrCL_CC,uprCL_CC,naCount_CC,gene,funct,NCBI,meanNA,Vib_diff,Vib_fold_diff,Mari_diff,Mari_fold_diff,CC_diff,CC_fold_diff
SPO1132,0.971,0.887,1.047,0,1.031,0.956,1.093,0,1.008,0.949,1.067,0,1.069,0.972,1.172,0,SPO1132,"glycine betaine/proline ABC transporter, ATP-binding protein",SPO_RS05745,0,0.06,0.086501132,0.037,0.053952438,0.098,0.138718652
SPO1133,0.897,0.799,0.998,0,0.973,0.92,1.02,0,0.97,0.939,1.005,0,0.97,0.918,1.034,0,SPO1133,"glycine betaine/proline ABC transporter, permease protein",SPO_RS05750,0,0.076,0.11733182,0.073,0.112876762,0.073,0.112876762
SPO1134,1.012,0.846,1.189,0,1.009,0.896,1.135,0,0.983,0.86,1.105,0,1.024,0.913,1.143,0,SPO1134,NnrU family protein,SPO_RS05755,0,-0.003,-0.004283116,-0.029,-0.041945968,0.012,0.017006425
SPO1135,1.104,1.066,1.146,0,0.999,0.946,1.061,0,0.945,0.877,1.026,0,1.07,0.989,1.159,0,SPO1135,hypothetical protein,SPO_RS05760,0,-0.105,-0.144183589,-0.159,-0.224353938,-0.034,-0.045129375
SPO1136,0.944,0.874,1.006,0,0.907,0.848,0.958,0,0.945,0.882,1.001,0,0.927,0.848,1.004,0,atf,Diaminobutyric acid transaminase,SPO_RS05765,0,-0.037,-0.057684309,0.001,0.00152747,-0.017,-0.026217521
SPO1137,0.88,0.783,0.954,0,0.934,0.887,0.98,0,0.887,0.791,0.956,0,0.893,0.847,0.936,0,ssd,Aspartate-semialdehyde dehydrogenase,SPO_RS05770,0,0.054,0.085919026,0.007,0.011430581,0.013,0.021156652
SPO1138,0.761,0.557,0.942,0,0.975,0.889,1.06,0,0.918,0.883,0.957,0,0.872,0.762,0.981,0,asnC,asnC transcriptional regulator,SPO_RS05775,0,0.214,0.357505765,0.157,0.2705977,0.111,0.196431681
SPO1139,1.008,0.941,1.075,0,0.956,0.866,1.029,0,0.934,0.868,0.998,0,0.898,0.811,0.99,0,eutE,ectoine utilization protein EutE,SPO_RS05780,0,-0.052,-0.076413116,-0.074,-0.110001184,-0.11,-0.166708289
SPO1140,0.912,0.761,1.031,0,0.95,0.883,1.008,0,0.945,0.87,1.018,0,0.934,0.822,1.028,0,eutD,Ectoine hydrolase,SPO_RS05785,0,0.038,0.058893689,0.033,0.051280505,0.022,0.034388726
SPO1141,1.038,0.757,1.27,0,0.879,0.702,1.046,0,0.865,0.732,1.003,0,0.899,0.623,1.11,0,eutC,ornithine cyclodeaminase/mu-crystallin family protein,SPO_RS05790,0,-0.159,-0.239871373,-0.173,-0.263034406,-0.139,-0.207413423
SPO1142,0.916,0.879,0.959,0,0.996,0.949,1.036,0,0.924,0.894,0.961,0,0.925,0.894,0.958,0,eutB,ectoine utilization protein EutB,SPO_RS05795,0,0.08,0.120798144,0.008,0.012545253,0.009,0.014105767
SPO1143,0.828,0.738,0.916,0,0.818,0.746,0.908,0,0.976,0.924,1.035,0,0.862,0.709,1.018,0,eutA,Ectoine utilization protein EutA,SPO_RS05800,0,-0.01,-0.017529925,0.148,0.23725038,0.034,0.058057102
SPO1144,0.936,0.801,1.085,0,0.966,0.856,1.084,0,0.983,0.907,1.085,0,0.925,0.807,1.067,0,SPO1144,universal stress protein family protein,SPO_RS05805,0,0.03,0.045514659,0.047,0.070682887,-0.011,-0.017055164
SPO1145,0.974,0.877,1.069,0,1.021,0.976,1.074,0,1.016,0.956,1.07,0,0.997,0.958,1.034,0,uehC,"Ectoine/5-hydroxyectoine TRAP transporter, periplasmic binding protein",SPO_RS05810,0,0.047,0.067989189,0.042,0.060906725,0.023,0.033671732
SPO1146,0.899,0.858,0.958,0,0.978,0.913,1.048,0,0.995,0.94,1.058,0,0.978,0.921,1.037,0,uehB,"Ectoine/5-hydroxyectoine TRAP transporter, small integral membrane protein",SPO_RS05815,0,0.079,0.121513349,0.096,0.14637541,0.079,0.121513349
SPO1147,0.899,0.833,0.972,0,0.922,0.875,0.972,0,0.937,0.892,0.985,0,0.903,0.796,0.988,0,uehA,"Ectoine/5-hydroxyectoine TRAP transporter, large integral membrane protein",SPO_RS05820,0,0.023,0.036445635,0.038,0.059727932,0.004,0.006404872
SPO1148,1.004,0.89,1.097,0,1.049,0.995,1.103,0,1.035,0.979,1.089,0,0.935,0.866,1.004,0,enuR,Ectoine/5-hydroxyectoine transcriptional regulator,SPO_RS05825,0,0.045,0.063255409,0.031,0.043871498,-0.069,-0.102720999
SPO1150,1.176,1.006,1.361,0,1.04,0.865,1.231,0,1.097,0.968,1.244,0,1.045,0.885,1.224,0,SPO1150,"RNA methyltransferase, TrmH family, group 3",SPO_RS05830,0,-0.136,-0.177304532,-0.079,-0.100324534,-0.131,-0.170385118
SPO1151,0.996,0,1.55,1502,0.958,0.391,1.463,2219,0.93,0,1.343,1454,0.931,0,1.547,2241,SPO1151,hypothetical protein,SPO_RS05835,1854,-0.038,-0.056120086,-0.066,-0.098915026,-0.065,-0.097364575
SPO1152,1.091,1.044,1.135,0,0.97,0.931,1.007,0,0.984,0.92,1.045,0,0.991,0.917,1.076,0,SPO1152,"twin-arginine translocation pathway signal sequence domain protein, putative",SPO_RS05840,0,-0.121,-0.169594449,-0.107,-0.148920881,-0.1,-0.138694139
SPO1153,1.016,0.858,1.16,0,0.975,0.871,1.082,0,0.978,0.899,1.064,0,0.971,0.842,1.091,0,SPO1153,CoA-binding domain protein,SPO_RS05845,0,-0.041,-0.059426278,-0.038,-0.054994032,-0.045,-0.065357201
SPO1154,1.026,0.943,1.107,0,1.029,0.946,1.112,0,1.028,0.986,1.082,0,0.95,0.839,1.049,0,SPO1154,"lipoprotein, putative",SPO_RS05850,0,0.003,0.004212251,0.002,0.002809534,-0.076,-0.111031312
SPO1155,0.062,0,0.186,0,0.303,0,0.63,0,0,0,0,0,0.172,0,0.533,0,hisE,Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31),SPO_RS05855,0,0.241,2.288977673,-0.062,#NAME?,0.11,1.472068444
SPO1159,0.896,0.724,1.067,0,0.722,0.244,1.057,0,0.923,0.801,1.038,0,0.866,0.742,0.997,0,SPO1159,hypothetical protein,SPO_RS05875,0,-0.174,-0.311499895,0.027,0.042831916,-0.03,-0.049131707
SPO1160,0.947,0.835,1.029,0,0.97,0.931,1.007,0,0.947,0.919,0.966,0,0.913,0.858,0.972,0,SPO1160,hypothetical protein,SPO_RS05880,0,0.023,0.034620322,0,0,-0.034,-0.052749565
SPO1161,0.976,0.915,1.034,0,0.939,0.854,1.023,0,1.021,0.995,1.049,0,0.995,0.954,1.034,0,SPO1161,"transcriptional regulator, AraC family",SPO_RS05885,0,-0.037,-0.05575599,0.045,0.065029813,0.019,0.027815378
SPO1164,1.049,0.782,1.303,0,1.09,0.959,1.199,0,0.957,0.839,1.085,0,0.914,0.656,1.174,0,SPO1164,hypothetical protein,SPO_RS05900,0,0.041,0.055313457,-0.092,-0.132423848,-0.135,-0.198748608
SPO1165,0.956,0.759,1.12,0,0.959,0.815,1.102,0,1.004,0.918,1.092,0,0.957,0.854,1.054,0,SPO1165,hypothetical protein,SPO_RS05905,0,0.003,0.004520197,0.048,0.070676746,0.001,0.001508307
SPO1166,1.019,0.948,1.098,0,0.995,0.93,1.063,0,1.004,0.965,1.054,0,0.997,0.924,1.07,0,SPO1166,"aminotransferase, class III family",SPO_RS05910,0,-0.024,-0.034385621,-0.015,-0.021394782,-0.022,-0.031488642
SPO1168,0.762,0,1.301,38,1.086,0.52,1.429,4,0.706,0,1.193,38,1.002,0.457,1.334,2,SPO1168,hypothetical protein,SPO_RS05920,20.5,0.324,0.5111612,-0.056,-0.110122814,0.24,0.395019606
SPO1171,1.065,1.039,1.089,0,0.989,0.947,1.024,0,0.973,0.953,0.99,0,0.989,0.959,1.015,0,pyc,pyruvate carboxylase,SPO_RS05935,0,-0.076,-0.106811004,-0.092,-0.13034172,-0.076,-0.106811004
SPO1172,1.179,1.087,1.269,0,1.102,1.011,1.215,0,1.005,0.938,1.074,0,1.041,0.981,1.106,0,SPO1172,FMN-dependent alpha-hydroxy acid dehydrogenase family protein,SPO_RS05940,0,-0.077,-0.097439494,-0.174,-0.230368217,-0.138,-0.17959365
SPO1173,1.075,0.947,1.211,0,0.975,0.854,1.096,0,0.995,0.888,1.111,0,0.921,0.826,1.024,0,SPO1173,"diguanylate cyclase, putative",SPO_RS05945,0,-0.1,-0.140862536,-0.08,-0.111568229,-0.154,-0.223063598
SPO1174,0.973,0.9,1.052,0,0.96,0.906,1.018,0,0.949,0.886,1.011,0,0.945,0.855,1.034,0,SPO1174,"DNA helicase II, putative",SPO_RS05950,0,-0.013,-0.019405399,-0.024,-0.036031718,-0.028,-0.042125476
SPO1175,0.977,0.887,1.079,0,0.97,0.896,1.05,0,0.985,0.922,1.055,0,0.984,0.917,1.062,0,SPO1175,hypothetical protein,SPO_RS05955,0,-0.007,-0.010373815,0.008,0.011765162,0.007,0.010299753
SPO1176,0.995,0.934,1.047,0,1.014,0.958,1.069,0,0.937,0.876,0.993,0,0.994,0.935,1.05,0,SPO1176,Ser/Thr protein phosphatase family protein,SPO_RS05960,0,0.019,0.027289222,-0.058,-0.086647478,-0.001,-0.001450674
SPO1181,1.114,0.938,1.312,2203,1.099,0.974,1.211,2175,0.651,0.511,0.921,3147,0.719,0.719,0.719,7710,SPO1181,penicillin-binding protein,SPO_RS05985,3808.75,-0.015,-0.019557846,-0.463,-0.775019784,-0.395,-0.631685557
SPO1185,1.015,1.005,1.026,0,1.01,0.996,1.021,0,0.999,0.989,1.012,0,1.005,0.988,1.018,0,SPO1185,hypothetical protein,SPO_RS06005,0,-0.005,-0.007124434,-0.016,-0.022923144,-0.01,-0.014284226
SPO1186,0.799,0.767,0.829,0,0.758,0.706,0.808,0,0.832,0.804,0.858,0,0.756,0.714,0.796,0,SPO1186,TPR domain protein,SPO_RS06010,0,-0.041,-0.075997655,0.033,0.058388025,-0.043,-0.079809269
SPO1188,0.991,0.905,1.078,0,0.986,0.926,1.034,0,0.986,0.908,1.052,0,0.954,0.864,1.032,0,SPO1188,putative protein TIGR00275,SPO_RS06020,0,-0.005,-0.007297411,-0.005,-0.007297411,-0.037,-0.054895791
SPO1189,1.015,0.922,1.106,0,1.064,0.961,1.168,0,1.129,0.96,1.271,0,1.192,1.11,1.267,0,SPO1189,hypothetical protein,SPO_RS06025,0,0.049,0.068018423,0.114,0.153565759,0.177,0.231904508
SPO1190,0.878,0.701,1.025,33,0.905,0.697,1.058,40,0.886,0.619,1.172,32,0.708,0,1.003,41,SPO1190,transcriptional regulator family protein,SPO_RS06030,36.5,0.027,0.043696852,0.008,0.013085759,-0.17,-0.310471579
SPO1191,0.858,0.396,1.228,47,0.742,0,1.145,34,0.799,0.62,1.011,39,0.578,0,1.002,35,gst,glutathione S-transferase,SPO_RS06035,38.75,-0.116,-0.209558461,-0.059,-0.102782145,-0.28,-0.569908155
SPO1192,0.548,0,1.215,181,0.715,0,1.084,101,0.849,0,1.247,99,1.01,0.745,1.261,44,SPO1192,hypothetical protein,SPO_RS06040,106.25,0.167,0.383767349,0.301,0.631588661,0.462,0.882107495
SPO1197,1.083,0.982,1.197,0,1.101,1.02,1.193,0,0.989,0.896,1.085,0,0.981,0.902,1.069,0,SPO1197,amino acid permease,SPO_RS06065,0,0.018,0.023781226,-0.094,-0.130990817,-0.102,-0.142708201
SPO1199,0.879,0.591,1.26,13,0.755,0,1.342,38,1.153,0.937,1.374,0,0.81,0,1.419,38,SPO1199,hypothetical protein,SPO_RS06085,22.25,-0.124,-0.219386521,0.274,0.391457443,-0.069,-0.117941257
SPO1204,0.982,0.9,1.099,0,0.947,0.808,1.085,0,0.843,0.633,0.965,0,0.951,0.821,1.079,0,ftsZ,cell division protein FtsZ,SPO_RS06110,0,-0.035,-0.052358599,-0.139,-0.220190393,-0.031,-0.046277683
SPO1206,0.718,0.482,0.896,0,0.941,0.758,1.094,0,0.913,0.807,1.013,0,0.589,0.184,0.861,0,SPO1206,"competence lipoprotein ComL, putative",SPO_RS06120,0,0.223,0.390210879,0.195,0.346631016,-0.129,-0.28571621
SPO1207,1.053,0.934,1.181,0,0.908,0.786,1.049,0,0.995,0.884,1.108,0,1.055,0.926,1.19,0,recN,DNA repair protein RecN,SPO_RS06125,0,-0.145,-0.213741234,-0.058,-0.081737006,0.002,0.002737563
SPO1208,1.118,0.755,1.544,214,0.923,0.699,1.21,207,0.949,0.785,1.207,182,0.459,0,1.556,355,SPO1208,voltage-gated chloride channel family protein,SPO_RS06130,239.5,-0.195,-0.276517635,-0.169,-0.236440196,-0.659,-1.284354129
SPO1209,1.034,0.976,1.084,0,1.048,1.021,1.07,0,0.999,0.975,1.026,0,0.984,0.924,1.044,0,SPO1209,MlrC domain protein,SPO_RS06135,0,0.014,0.019402531,-0.035,-0.049679603,-0.05,-0.071505965
SPO1210,1.055,1.01,1.102,0,0.988,0.958,1.019,0,1.019,0.99,1.047,0,1,0.96,1.045,0,SPO1210,"oligopeptide ABC transporter, periplasmic oligopeptide-binding protein",SPO_RS06140,0,-0.067,-0.094660052,-0.036,-0.050088947,-0.055,-0.077242999
SPO1211,1.074,0.982,1.159,0,1.011,0.964,1.06,0,1.043,0.988,1.098,0,0.994,0.919,1.059,0,SPO1211,"oligopeptide ABC transporter, permease protein",SPO_RS06145,0,-0.063,-0.087210996,-0.031,-0.042254835,-0.08,-0.111676236
SPO1212,1.027,0.993,1.059,0,0.987,0.926,1.049,0,1.02,0.97,1.077,0,1.041,0.992,1.091,0,SPO1212,"oligopeptide ABC transporter, permease protein",SPO_RS06150,0,-0.04,-0.057314192,-0.007,-0.009867029,0.014,0.019533887
SPO1213,0.981,0.951,1.011,0,0.992,0.97,1.012,0,0.905,0.883,0.927,0,0.982,0.904,1.06,0,SPO1213,"oligopeptide ABC transporter, ATP-binding protein",SPO_RS06155,0,0.011,0.016086984,-0.076,-0.116335344,0.001,0.001469888
SPO1214,0.978,0.937,1.013,0,1.011,0.958,1.061,0,0.983,0.949,1.013,0,0.991,0.934,1.055,0,SPO1214,hippurate hydrolase,SPO_RS06160,0,0.033,0.047876627,0.005,0.007356951,0.013,0.019050592
SPO1215,0.963,0.855,1.053,0,1.009,0.931,1.082,0,1.026,0.982,1.074,0,0.965,0.915,1.018,0,SPO1215,"peptidase, M20/M25/M40 family",SPO_RS06165,0,0.046,0.067318471,0.063,0.091423028,0.002,0.002993144
SPO1216,0.843,0.771,0.914,0,0.855,0.77,0.954,0,0.913,0.873,0.96,0,0.892,0.823,0.962,0,SPO1216,hypothetical protein,SPO_RS06170,0,0.012,0.020391789,0.07,0.115082229,0.049,0.081511079
SPO1217,0.889,0.827,0.951,0,0.885,0.684,1.025,0,0.797,0.692,0.897,0,0.914,0.763,1.073,0,SPO1217,"DNA-binding protein, putative",SPO_RS06175,0,-0.004,-0.006505964,-0.092,-0.157603695,0.025,0.040010746
SPO1218,0.936,0.914,0.96,0,0.929,0.904,0.957,0,0.919,0.892,0.945,0,0.915,0.895,0.937,0,SPO1218,"site-specific recombinase, phage integrase family",SPO_RS06190,0,-0.007,-0.010829933,-0.017,-0.026443668,-0.021,-0.032736786
SPO1219,1.056,1.045,1.067,0,1.048,1.03,1.067,0,1.049,1.04,1.057,0,1.048,1.037,1.058,0,SPO1219,"site-specific recombinase, phage integrase family",SPO_RS06195,0,-0.008,-0.010971118,-0.007,-0.009595157,-0.008,-0.010971118
SPO1220,0.938,0.917,0.959,0,0.967,0.941,0.993,0,0.96,0.937,0.986,0,0.939,0.883,0.996,0,SPO1220,hypothetical protein,SPO_RS06200,0,0.029,0.043927967,0.022,0.033446483,0.001,0.001537235
SPO1221,0.99,0.984,0.998,0,0.994,0.985,1.002,0,0.993,0.977,1.006,0,0.996,0.987,1.003,0,SPO1221,hypothetical protein,SPO_RS22805,0,0.004,0.005817327,0.003,0.004365193,0.006,0.008717217
SPO1222,0.916,0.888,0.945,0,0.894,0.872,0.912,0,0.934,0.92,0.953,0,0.934,0.923,0.943,0,SPO1222,"site-specific recombinase, resolvase family",SPO_RS06210,0,-0.022,-0.035072767,0.018,0.028074952,0.018,0.028074952
SPO1223,0.933,0.843,1.066,0,1.02,0.926,1.139,0,0.912,0.826,1.021,0,0.917,0.837,1.033,0,SPO1223,hypothetical protein,SPO_RS06215,0,0.087,0.128620166,-0.021,-0.032843257,-0.016,-0.024955347
SPO1224,0.909,0.83,0.992,0,0.908,0.855,0.96,0,0.909,0.852,0.966,0,0.923,0.859,0.992,0,SPO1224,hypothetical protein,SPO_RS06220,0,-0.001,-0.001587997,0,0,0.014,0.022050353
SPO1225,0.743,0.551,0.982,0,0.738,0.27,0.999,0,0.927,0.817,1.064,0,0.665,0.237,0.915,0,SPO1225,hypothetical protein,,0,-0.005,-0.009741394,0.184,0.319207128,-0.078,-0.16000787
SPO1226,0.931,0.908,0.955,0,0.971,0.959,0.982,0,0.946,0.908,0.977,0,0.958,0.936,0.979,0,SPO1226,"lipoprotein, putative",SPO_RS22815,0,0.04,0.060690128,0.015,0.023059016,0.027,0.041244488
SPO1226a,0.931,0.876,0.978,0,0.938,0.899,0.979,0,0.973,0.937,1.006,0,1.009,0.982,1.035,0,SPO1226a,hypothetical protein,SPO_RS22820,0,0.007,0.010806755,0.042,0.063658637,0.078,0.116073102
SPO1227,0.953,0.929,0.978,0,0.95,0.913,0.992,0,0.963,0.939,0.987,0,0.971,0.932,1.018,0,SPO1227,hypothetical protein,SPO_RS06235,0,-0.003,-0.004548701,0.01,0.015059584,0.018,0.026995082
SPO1228,0.91,0.839,0.977,0,0.917,0.856,0.972,0,0.931,0.901,0.96,0,0.955,0.914,0.994,0,SPO1228,hypothetical protein,SPO_RS06240,0,0.007,0.011055189,0.021,0.032914622,0.045,0.069634188
SPO1229,0.938,0.89,0.984,0,0.907,0.85,0.958,0,0.921,0.889,0.954,0,0.962,0.887,1.039,0,SPO1229,hypothetical protein,SPO_RS06250,0,-0.031,-0.048485372,-0.017,-0.026386766,0.024,0.036448971
SPO1230,0.971,0.95,0.996,0,0.917,0.902,0.934,0,0.947,0.929,0.971,0,0.929,0.916,0.942,0,SPO1230,hypothetical protein,SPO_RS22145,0,-0.054,-0.082549562,-0.024,-0.03610687,-0.042,-0.063792699
SPO1231,0.896,0.866,0.929,0,0.965,0.933,1,0,0.937,0.887,0.98,0,0.948,0.925,0.969,0,SPO1231,hypothetical protein,SPO_RS06260,0,0.069,0.10703021,0.041,0.064550316,0.052,0.081388327
SPO1232,0.88,0.813,0.966,0,0.908,0.818,0.981,0,0.898,0.872,0.931,0,0.84,0.753,0.946,0,SPO1232,"DNA-binding protein, H-NS family",SPO_RS06265,0,0.028,0.045188774,0.018,0.029211921,-0.04,-0.067114196
SPO1233,0.906,0.879,0.928,0,0.932,0.923,0.942,0,0.926,0.917,0.935,0,0.917,0.907,0.928,0,SPO1233,hypothetical protein,SPO_RS06270,0,0.026,0.040818905,0.02,0.031501143,0.011,0.017410684
SPO1234,1.011,0.985,1.038,0,1.007,0.982,1.033,0,0.995,0.977,1.014,0,1.008,0.987,1.03,0,SPO1234,hypothetical protein,SPO_RS06275,0,-0.004,-0.005719314,-0.016,-0.023014566,-0.003,-0.004287358
SPO1235,0.979,0.971,0.988,0,0.966,0.958,0.977,0,0.98,0.972,0.988,0,0.964,0.948,0.979,0,SPO1235,hypothetical protein,SPO_RS06285,0,-0.013,-0.019285671,0.001,0.001472889,-0.015,-0.022275713
SPO1236,0.964,0.937,0.997,0,0.973,0.948,1.002,0,0.983,0.959,1.01,0,0.989,0.968,1.015,0,SPO1236,hypothetical protein,SPO_RS06290,0,0.009,0.013406659,0.019,0.02815827,0.025,0.036937375
SPO1237,0.943,0.924,0.968,0,0.95,0.932,0.964,0,0.949,0.931,0.962,0,0.959,0.949,0.969,0,SPO1237,hypothetical protein,SPO_RS06295,0,0.007,0.010669743,0.006,0.009150316,0.016,0.024273044
SPO1240,0.446,0.251,0.628,0,0.833,0.711,0.957,0,0.585,0.526,0.644,0,0.827,0.745,0.906,0,SPO1240,"type I secretion outer membrane protein, TolC family",SPO_RS06315,0,0.387,0.901272785,0.139,0.391392915,0.381,0.890843619
SPO1241,1.112,1.09,1.135,0,1.058,1.036,1.079,0,1.064,1.039,1.095,0,1.038,0.981,1.079,0,SPO1241,hypothetical protein,SPO_RS06320,0,-0.054,-0.071817161,-0.048,-0.063658637,-0.074,-0.099350344
SPO1243,1.043,0.875,1.204,0,0.97,0.766,1.163,0,1.01,0.844,1.168,0,1.041,0.892,1.173,0,SPO1243,hypothetical protein,,0,-0.073,-0.104682505,-0.033,-0.046383865,-0.002,-0.002769089
SPO1244,1.213,1.033,1.442,0,1.025,0.723,1.299,0,1.082,0.95,1.258,0,1.007,0.805,1.248,0,efp,translation elongation factor P,SPO_RS06335,0,-0.188,-0.242955641,-0.131,-0.164879051,-0.206,-0.268515867
SPO1245,1.045,0.981,1.111,0,1.064,1.04,1.087,0,1.047,1.021,1.071,0,1.007,0.98,1.032,0,SPO1245,"ABC transporter, permease protein",SPO_RS06340,0,0.019,0.025995209,0.002,0.0027585,-0.038,-0.053439259
SPO1246,0.557,0.328,0.732,0,0.805,0.673,0.912,0,0.672,0.589,0.752,0,0.78,0.571,0.989,0,SPO1246,aminomethyl transferase family protein,SPO_RS06345,0,0.248,0.531311456,0.115,0.270783905,0.223,0.485796796
SPO1247,0.872,0.771,0.966,0,0.899,0.779,1.007,0,0.895,0.806,0.995,0,0.856,0.745,0.948,0,SPO1247,"glycosyl transferase, group 2 family protein",SPO_RS06350,0,0.027,0.043992981,0.023,0.037559547,-0.016,-0.026717338
SPO1249,1.075,1.042,1.11,0,1.039,0.98,1.1,0,1.047,1.021,1.073,0,1.045,1.009,1.077,0,SPO1249,"paraquat-inducible protein, putative",SPO_RS06365,0,-0.036,-0.049141006,-0.028,-0.038075218,-0.03,-0.040833718
SPO1250,1.212,1.033,1.391,0,1.192,1.089,1.311,0,1.142,0.984,1.288,0,1.038,0.931,1.156,0,SPO1250,"lipoprotein, putative",SPO_RS06370,0,-0.02,-0.024005463,-0.07,-0.085827048,-0.174,-0.223583255
SPO1251,0.981,0.883,1.077,0,1.02,0.947,1.091,0,0.956,0.82,1.081,0,0.898,0.732,1.059,0,SPO1251,hypothetical protein,SPO_RS06375,0,0.039,0.056244111,-0.025,-0.037242518,-0.083,-0.127537691
SPO1252a,1.081,0.985,1.171,0,1.084,1.024,1.149,0,1.053,1.015,1.103,0,1.068,1.022,1.122,0,SPO1252a,Transcriptional regulator,SPO_RS22455,0,0.003,0.003998234,-0.028,-0.037861087,-0.013,-0.017454876
SPO1254,1.045,0.962,1.135,0,1.11,1.052,1.178,0,1.064,0.974,1.153,0,1.074,1.006,1.148,0,SPO1254,hypothetical protein,SPO_RS06390,0,0.065,0.087056734,0.019,0.025995209,0.029,0.039491051
SPO1255,1.112,1.037,1.187,0,1.103,1.024,1.196,0,1.03,0.91,1.133,0,1.047,0.943,1.148,0,SPO1255,alkylhydroperoxidase AhpD family core domain protein,SPO_RS06395,0,-0.009,-0.011723997,-0.082,-0.110512451,-0.065,-0.086895346
SPO1256,0.94,0.832,1.056,0,0.992,0.86,1.128,0,0.949,0.86,1.038,0,0.891,0.805,0.973,0,ppk2,polyphosphate kinase 2,SPO_RS06400,0,0.052,0.077679364,0.009,0.01374733,-0.049,-0.077235325
SPO1257,1.026,0.991,1.066,0,0.928,0.824,1.013,0,0.973,0.935,1.014,0,1.016,0.884,1.106,0,SPO1257,glutathione S-transferase family protein,SPO_RS06405,0,-0.098,-0.14483402,-0.053,-0.076519021,-0.01,-0.014130329
SPO1259,1.004,0.917,1.092,0,0.991,0.888,1.077,0,0.995,0.951,1.034,0,0.932,0.883,0.979,0,SPO1259,hypothetical protein,SPO_RS06415,0,-0.013,-0.018802307,-0.009,-0.012990839,-0.072,-0.107357409
SPO1260,1.057,0.98,1.144,0,1.013,0.941,1.094,0,1.007,0.943,1.082,0,1.031,0.944,1.117,0,SPO1260,MATE efflux family protein,SPO_RS06420,0,-0.044,-0.061341203,-0.05,-0.069911693,-0.026,-0.035931044
SPO1261,1.16,1.026,1.362,1585,1.172,1.106,1.243,1500,1.14,0.945,1.284,1498,0.919,0.904,0.933,5887,SPO1261,"transcriptional regulator, MarR family",SPO_RS06425,2617.5,0.012,0.014847764,-0.02,-0.025090981,-0.241,-0.335988039
SPO1262,0.942,0.879,1,0,0.968,0.939,1.001,0,0.969,0.901,1.038,0,0.848,0.68,0.99,0,SPO1262,hypothetical protein,SPO_RS06430,0,0.026,0.039279988,0.027,0.040769606,-0.094,-0.151662795
SPO1263,1.136,0.991,1.262,0,1.087,0.997,1.181,0,1.032,0.935,1.126,0,1.008,0.926,1.099,0,SPO1263,hypothetical protein,SPO_RS06435,0,-0.049,-0.063610894,-0.104,-0.138519864,-0.128,-0.172467196
SPO1264,0.893,0.847,0.938,0,0.99,0.932,1.049,0,0.964,0.915,1.011,0,1.029,0.989,1.068,0,aspC-2,aspartate aminotransferase,SPO_RS06440,0,0.097,0.14876835,0.071,0.110372971,0.136,0.204510902
SPO1265,0,0,0,587,0.386,0,1.26,363,0.753,0.37,1.113,177,0.687,0,1.159,214,SPO1265,"DNA-binding protein, putative",SPO_RS06445,335.25,0.386,Inf,0.753,Inf,0.687,Inf
SPO1267,1.117,1.01,1.386,367,1.127,0.939,1.422,1030,0.98,0.761,1.05,2213,1.072,0.904,1.297,2208,SPO1267,"transcriptional regulator, MarR family",SPO_RS06455,1454.5,0.01,0.01285833,-0.137,-0.188775531,-0.045,-0.05932428
SPO1268,0.99,0.733,1.246,0,1.006,0.846,1.209,0,1.063,0.943,1.236,0,1.072,0.879,1.286,0,SPO1268,"lipoprotein, putative",SPO_RS06460,0,0.016,0.023129875,0.073,0.102641167,0.082,0.114804475
SPO1270,0.799,0.563,0.994,38,0.829,0.654,0.999,38,0.728,0,1.036,38,0.934,0.771,1.154,45,SPO1270,"lactoylglutathione lyase, putative",SPO_RS06470,39.75,0.03,0.053176599,-0.071,-0.134257053,0.135,0.225227047
SPO1271,1.028,0.992,1.068,0,1.013,0.956,1.073,0,1.023,0.989,1.06,0,0.999,0.959,1.044,0,SPO1271,hypothetical protein,SPO_RS06475,0,-0.015,-0.02120609,-0.005,-0.007034119,-0.029,-0.041283681
SPO1272,1.042,0.998,1.084,0,1.05,1.01,1.091,0,1.046,1.019,1.071,0,1.043,1.013,1.071,0,SPO1272,hypothetical protein,SPO_RS06480,0,0.008,0.01103405,0.004,0.005527574,0.001,0.00138388
SPO1274,0.994,0.965,1.025,0,0.985,0.948,1.022,0,1.011,0.983,1.039,0,0.997,0.961,1.03,0,SPO1274,hypothetical protein,,0,-0.009,-0.013122127,0.017,0.02446524,0.003,0.004347653
SPO1275,1.079,0.914,1.237,0,1.003,0.914,1.127,0,1.042,0.931,1.177,0,1.058,0.933,1.194,0,SPO1275,cold shock family protein,SPO_RS06495,0,-0.076,-0.105373259,-0.037,-0.050339587,-0.021,-0.028355237
SPO1276,0.583,0,1.32,201,1.108,0.916,1.237,41,0.874,0.784,0.977,40,0.998,0.841,1.147,37,SPO1276,ArsC family protein,SPO_RS06500,79.75,0.525,0.926390093,0.291,0.584137396,0.415,0.775543932
SPO1277,1.042,1.01,1.072,0,0.96,0.915,1.004,0,1.005,0.96,1.043,0,1.007,0.975,1.037,0,SPO1277,hypothetical protein,SPO_RS06505,0,-0.082,-0.118248967,-0.037,-0.052159776,-0.035,-0.049291594
