spo,mean_rpomAlone,lwrCL_rpomAlone,uprCL_rpomAlone,stdev_rpomAlone,lwrCL_adj_rpomAlone,uprCL_adj_rpomAlone,naCount_rpomAlone,mean_vib,lwrCL_vib,uprCL_vib,stdev_vib,lwrCL_adj_vib,uprCL_adj_vib,naCount_vib,mean_mari,lwrCL_mari,uprCL_mari,stdev_mari,lwrCL_adj_mari,uprCL_adj_mari,naCount_mari,mean_CC,lwrCL_CC,uprCL_CC,stdev_CC,lwrCL_adj_CC,uprCL_adj_CC,naCount_CC,gene,funct,NCBI,meanNA,Vib_fold_diff,Mari_fold_diff,CC_fold_diff,Vib_sig,Mari_sig,CC_sig,Group,Category,Subcategory,Metabolism,COG,COG_Category,COG_Name
SPOA0237,1.164,1.133,1.195,0.016,1.11,1.219,0,0.974,0.918,1.015,0.026,0.871,1.031,0,0.986,0.964,1.007,0.011,0.937,1.018,0,0.997,0.975,1.017,0.011,0.961,1.031,0,dctD-2,C4-dicarboxylate transport transcriptional regulatory protein DctD,SPO_RS21020,0,-0.255,-0.237,-0.221,yes,yes,yes,Competition,"Transporter, secondary",Regulation,NA,NA,NA,NA
SPOA0336,1.28,1.236,1.328,0.024,1.216,1.356,0,0.926,0.902,0.949,0.012,0.884,0.963,0,1.078,1.023,1.118,0.025,0.984,1.132,0,0.93,0.896,0.962,0.017,0.878,0.977,0,SPOA0336,LacI family transcription regulator,SPO_RS21540,0,-0.463,-0.246,-0.457,yes,yes,yes,Regulation/Signaling,,,NA,NA,NA,NA
SPO_Sp16SA,0.967,0.96,0.974,0.004,0.956,0.978,0,1.042,1.036,1.046,0.003,1.033,1.048,0,1.047,1.038,1.055,0.004,1.032,1.058,0,1.052,1.047,1.057,0.002,1.043,1.059,0,16S rRNA,,,0,0.107,0.114,0.12,yes,yes,yes,Altered environment,Cell Cycle/Growth,Transcription/Ribosome,NA,NA,NA,NA
SPO_Sp16SB,0.966,0.957,0.975,0.005,0.952,0.982,0,1.043,1.036,1.049,0.003,1.031,1.053,0,1.047,1.037,1.057,0.005,1.03,1.062,0,1.052,1.047,1.057,0.002,1.045,1.06,0,16S rRNA,,,0,0.11,0.115,0.122,yes,yes,yes,Altered environment,Cell Cycle/Growth,Transcription/Ribosome,NA,NA,NA,NA
SPO_Sp16SC,0.964,0.956,0.971,0.004,0.952,0.975,0,1.043,1.037,1.05,0.003,1.035,1.055,0,1.046,1.038,1.054,0.004,1.032,1.057,0,1.053,1.05,1.056,0.002,1.047,1.058,0,16S rRNA,,,0,0.113,0.117,0.126,yes,yes,yes,Altered environment,Cell Cycle/Growth,Transcription/Ribosome,NA,NA,NA,NA
SPO0322,1.146,1.114,1.178,0.016,1.089,1.198,0,1.036,1.009,1.065,0.014,0.988,1.089,0,1,0.956,1.043,0.022,0.935,1.065,0,1.02,0.831,1.175,0.085,0.735,1.233,0,SPO0322,hypothetical protein,SPO_RS22380,0,-0.144,-0.195,-0.166,NA,yes,NA,Hypothetical,,,NA,NA,NA,NA
SPO0388,1.117,1.101,1.132,0.008,1.085,1.143,0,1.03,1.004,1.061,0.015,0.995,1.085,0,1.033,1.02,1.046,0.007,1.012,1.058,0,1.029,1.011,1.05,0.01,1.003,1.07,0,SPO0388,"aminotransferase, class IV",SPO_RS01965,0,-0.116,-0.112,-0.117,NA,yes,yes,NA,,,Anabolic,COG0115,"AA, Coenzyme",branched-chain amino acid aminotransferase
SPO0533,1.09,1.037,1.136,0.026,0.988,1.153,0,1.014,0.941,1.085,0.036,0.889,1.12,0,0.907,0.845,0.959,0.03,0.794,0.982,0,0.988,0.935,1.037,0.027,0.888,1.062,0,SPO0533,"diguanylate cyclase, putative",SPO_RS02690,0,-0.103,-0.263,-0.14,NA,yes,NA,Regulation/Signaling,,,NA,NA,NA,NA
SPO0728,0.977,0.953,1.006,0.013,0.941,1.031,0,0.957,0.9,1.012,0.028,0.878,1.036,0,0.898,0.877,0.918,0.01,0.861,0.934,0,0.985,0.945,1.027,0.021,0.925,1.056,0,tuf-1,translation elongation factor Tu,SPO_RS03675,0,-0.03,-0.12,0.012,NA,yes,NA,Altered environment,Cell Cycle/Growth,Transcription/Ribosome,Anabolic,COG0050,translation,translation elongation factor 1A (EF-1A/EF-Tu)
SPO0910,1.089,1.069,1.109,0.01,1.055,1.12,0,1.032,1.009,1.066,0.015,1.001,1.096,0,1.012,0.986,1.038,0.013,0.976,1.052,0,1.017,0.988,1.047,0.015,0.973,1.064,0,SPO0910,hypothetical protein,SPO_RS04585,0,-0.077,-0.105,-0.098,NA,yes,NA,Hypothetical,,,NA,NA,NA,NA
SPO1171,1.065,1.039,1.089,0.013,1.009,1.104,0,0.989,0.947,1.024,0.02,0.911,1.043,0,0.973,0.953,0.99,0.01,0.94,1.002,0,0.989,0.959,1.015,0.015,0.931,1.029,0,pyc,pyruvate carboxylase,SPO_RS05935,0,-0.106,-0.129,-0.106,NA,yes,NA,Altered environment,Metabolism,TCA,Anabolic,COG1038,Energy,pyruvate carboxylase
SPO1181,1.114,0.938,1.312,0.134,0.938,1.312,2203,1.099,0.974,1.211,0.072,0.974,1.211,2175,0.651,0.511,0.921,0.151,0.511,0.921,3147,0.719,0.719,0.719,0,0.719,0.719,7710,SPO1181,penicillin-binding protein,SPO_RS05985,3808.75,-0.019,-0.766,-0.625,NA,yes,yes,NA,,,NA,NA,NA,NA
SPO1265,0,0,0,0,0,0,587,0.386,0,1.26,0.392,0,1.292,363,0.753,0.37,1.113,0.193,0.307,1.19,177,0.687,0,1.159,0.3,0,1.204,214,SPO1265,"DNA-binding protein, putative",SPO_RS06445,335.25,5.307,6.254,6.123,NA,yes,NA,Regulation/Signaling,,,NA,NA,NA,NA
SPO1613,0.643,0.427,0.864,0.207,0.427,0.864,5813,0.842,0.473,1.044,0.196,0.473,1.044,3234,1.029,0.976,1.073,0.037,0.976,1.073,4302,0.879,0.879,0.88,0.001,0.879,0.88,5806,SPO1613,hypothetical protein,SPO_RS08205,4788.75,0.384,0.67,0.445,NA,yes,yes,Hypothetical,,,NA,NA,NA,NA
SPO1865,1.242,1.221,1.262,0.019,1.221,1.262,5857,1.202,1.184,1.221,0.017,1.184,1.221,5865,1.132,1.078,1.186,0.036,1.078,1.186,3156,1.255,1.107,1.403,0.117,1.107,1.403,3211,tkt,transketolase,SPO_RS09480,4522.25,-0.047,-0.133,0.015,NA,yes,NA,Central Metabolism,Catabolism,Sugar,Catabolic,COG0021,Carbon,transketolase (EC 2.2.1.1)
SPO2087,0.072,0,0.217,0.063,0,0.336,0,0.331,0.079,0.593,0.133,0,0.728,0,0.508,0.392,0.648,0.067,0.345,0.749,0,0.186,0,0.437,0.116,0,0.61,0,ntrC,nitrogen regulation protein NtrC,SPO_RS10585,0,2.056,2.659,1.257,NA,yes,NA,Regulation/Signaling,,,NA,NA,NA,NA
SPO2203,1.093,1.058,1.134,0.02,1.04,1.169,0,1.02,0.979,1.051,0.019,0.949,1.067,0,1.004,0.991,1.019,0.007,0.985,1.031,0,1.025,0.997,1.06,0.016,0.985,1.095,0,mmsA,methylmalonate-semialdehyde dehydrogenase,SPO_RS11170,0,-0.099,-0.121,-0.092,NA,yes,NA,Central Metabolism,Catabolism,Methylmalonate,Catabolic,COG1012,Energy,methylmalonate-semialdehyde dehydrogenase [acylating] (EC 1.2.1.27)
SPO2334,1.045,1.017,1.078,0.016,1.004,1.112,0,0.96,0.908,0.998,0.024,0.866,1.009,0,0.938,0.909,0.963,0.014,0.886,0.977,0,1.04,0.957,1.11,0.04,0.903,1.15,0,SPO2334,CAAX amino terminal protease family protein,SPO_RS11830,0,-0.121,-0.154,-0.007,NA,yes,NA,NA,,,NA,NA,NA,NA
SPO2470,1.323,1.239,1.46,0.089,1.239,1.46,4359,1.161,1.087,1.284,0.08,1.087,1.284,4277,0.916,0.761,1.07,0.079,0.761,1.07,980,0.917,0.903,0.931,0.013,0.903,0.931,5903,iunH,inosine-uridine preferring nucleoside hydrolase,SPO_RS12545,3879.75,-0.187,-0.526,-0.524,NA,yes,yes,Central Metabolism,Nucleotide salvage,Inosine/Uridine,Catabolic,COG1957,nucleotide,inosine-uridine preferring nucleoside hydrolase
SPO2569,0.777,0.628,0.872,0.067,0.547,0.879,0,0.911,0.859,0.962,0.027,0.833,0.974,0,0.931,0.912,0.947,0.009,0.898,0.953,0,0.914,0.789,1.037,0.063,0.744,1.043,0,bpt,Aspartate/glutamate leucyltransferase (EC 2.3.2.29),SPO_RS13035,0,0.227,0.258,0.232,NA,yes,NA,Altered environment,Cell Cycle/Growth,Protein Turnover,NA,NA,NA,NA
SPO2796,1.127,1.022,1.237,0.055,0.96,1.309,0,1.138,1.022,1.217,0.051,0.947,1.242,0,0.852,0.808,0.899,0.024,0.779,0.935,0,1.002,0.925,1.112,0.049,0.896,1.186,0,gph-2,phosphoglycolate phosphatase,SPO_RS14200,0,0.014,-0.399,-0.168,NA,yes,NA,Competition,Carbon source,Phosphoglycolate,Catabolic,COG0546,Energy,phosphoglycolate phosphatase
SPO3255,1.1,1,1.199,0.068,1,1.199,3142,1.025,0.716,1.182,0.141,0.716,1.182,2215,0.75,0.653,0.801,0.064,0.653,0.801,4415,1.108,0.88,1.335,0.137,0.88,1.335,1497,rimM,16S rRNA processing protein RimM,SPO_RS16485,2817.25,-0.101,-0.546,0.01,NA,yes,NA,NA,,,Anabolic,COG0806,translation,16S rRNA processing protein RimM
SPO3498,0.967,0.943,0.994,0.013,0.929,1.018,0,0.955,0.901,1.008,0.027,0.885,1.034,0,0.895,0.88,0.911,0.008,0.872,0.923,0,0.998,0.963,1.033,0.018,0.945,1.059,0,tuf-2,translation elongation factor Tu,SPO_RS17715,0,-0.018,-0.11,0.045,NA,yes,NA,Altered environment,Cell Cycle/Growth,Transcription/Ribosome,Anabolic,COG0050,translation,translation elongation factor 1A (EF-1A/EF-Tu)
SPO3805,1.105,1.077,1.142,0.017,1.062,1.167,0,1.059,1.022,1.105,0.021,1.002,1.136,0,1.026,1.005,1.047,0.011,0.992,1.061,0,1.085,1.062,1.105,0.011,1.042,1.115,0,dmdD,Methylthioacryloyl-CoA hydratase,SPO_RS19305,0,-0.061,-0.106,-0.026,NA,yes,NA,Competition,Carbon source,DMSP,Catabolic,COG1024,lipids,methylthioacryloyl-CoA hydratase
SPO3867,0.764,0.724,0.804,0.021,0.7,0.836,0,0.867,0.845,0.893,0.013,0.834,0.918,0,0.873,0.848,0.903,0.014,0.838,0.93,0,0.858,0.832,0.888,0.014,0.818,0.913,0,regB,sensor histidine kinase RegB,SPO_RS19625,0,0.18,0.19,0.165,NA,yes,NA,Regulation/Signaling,,,NA,NA,NA,NA
SPOA0017,0.223,0,0.486,0.139,0,0.507,43,0,0,0,0,0,0,35,0.84,0.714,0.972,0.065,0.607,1.054,0,0.268,0,0.672,0.181,0,0.759,43,cmk,cytidylate kinase,SPO_RS19860,30.25,-4.542,1.867,0.255,NA,yes,NA,Crossfeeding,Nucleotide,Pyrimidine,Anabolic,COG0283,nucleotide,cytidylate kinase (EC 2.7.4.14)
SPOA0240,1.086,1.054,1.117,0.016,1.028,1.133,0,0.976,0.923,1.025,0.026,0.887,1.044,0,0.981,0.954,1.007,0.014,0.933,1.026,0,0.98,0.954,1.003,0.012,0.928,1.017,0,SPOA0240,"TRAP transporter, DctM subunit",SPO_RS21035,0,-0.153,-0.145,-0.147,NA,yes,yes,Competition,"Transporter, secondary",Organic acid,Transport,COG1593,Carbon,"TRAP transporter, DctM subunit"
SPOA0293,1.038,1.018,1.059,0.01,1.003,1.071,0,1.002,0.979,1.025,0.012,0.96,1.039,0,0.965,0.948,0.982,0.009,0.934,0.992,0,0.97,0.945,0.993,0.013,0.921,1.008,0,pssA,CDP-diacylglycerol--serine O-phosphatidyltransferase,SPO_RS21305,0,-0.05,-0.104,-0.097,NA,yes,NA,NA,,,Anabolic,COG1183,lipids,CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8)
SPO0216,0.064,0.021,0.091,0.019,0,0.097,0,0.154,0.076,0.266,0.051,0.071,0.333,0,0.149,0.108,0.195,0.023,0.092,0.222,0,0.267,0.156,0.38,0.057,0.124,0.409,0,leuC-1,"3-isopropylmalate dehydratase, large subunit",SPO_RS01100,0,1.148,1.103,1.904,NA,NA,yes,Crossfeeding,Amino Acid,Leucine,Anabolic,COG0065,AA,"3-isopropylmalate dehydratase, large subunit (EC 4.2.1.33)"
SPO0284,0.152,0,0.308,0.078,0,0.372,0,0.415,0.162,0.623,0.117,0.048,0.692,0,0.344,0.163,0.509,0.087,0.072,0.57,0,0.657,0.539,0.794,0.067,0.461,0.894,0,SPO0284,"dihydroorotase, multifunctional complex type",SPO_RS01440,0,1.391,1.128,2.042,NA,NA,yes,Crossfeeding,Nucleotide,Pyrimidine,Amphibolic,COG0044,nucleotide,dihydroorotase (EC 3.5.2.3)
SPO0297,0,0,0,0,0,0,620,0.081,0,0.337,0.107,0,0.337,618,0.343,0,0.8,0.263,0,0.8,621,0.685,0.536,0.88,0.09,0.536,0.88,639,SPO0297,Sua5/YciO/YrdC family protein,SPO_RS01510,624.5,3.186,5.142,6.119,NA,NA,yes,NA,,,Anabolic,COG0009,translation,translation factor SUA5
SPO0349,0.156,0.045,0.247,0.049,0,0.284,0,0.284,0.02,0.554,0.139,0.014,0.672,0,0.451,0.317,0.529,0.058,0.244,0.542,0,0.553,0.479,0.622,0.037,0.43,0.658,0,mdh,"malate dehydrogenase, NAD-dependent",SPO_RS01775,0,0.825,1.474,1.762,NA,NA,yes,Altered environment,Metabolism,TCA/gluconeogenesis,Amphibolic,COG0039,Energy,malate dehydrogenase (NAD) (EC 1.1.1.37)
SPO0386,0.329,0.207,0.422,0.056,0.136,0.47,0,0.663,0.512,0.823,0.08,0.431,0.923,0,0.529,0.433,0.614,0.047,0.373,0.654,0,0.821,0.763,0.873,0.028,0.71,0.902,0,SPO0386,universal stress family protein,SPO_RS01955,0,0.989,0.669,1.294,NA,NA,yes,Altered environment,Stress,environmental stress,NA,NA,NA,NA
SPO0397,0.89,0.778,1.02,0.062,0.728,1.087,0,0.213,0,0.644,0.186,0,0.927,0,0.595,0.417,0.731,0.082,0.289,0.81,0,0,0,0,0,0,0,0,glnD,protein-P-II uridylyltransferase,SPO_RS02010,0,-2.013,-0.573,-6.492,NA,NA,yes,Competition,Nitrogen acquisition,Regulation,NA,NA,NA,NA
SPO0875,0.633,0.563,0.692,0.033,0.522,0.719,0,0.753,0.696,0.806,0.028,0.667,0.829,0,0.671,0.599,0.717,0.031,0.559,0.734,0,0.829,0.799,0.867,0.019,0.79,0.9,0,gap-2,"glyceraldehyde-3-phosphate dehydrogenase, type I",SPO_RS04410,0,0.247,0.083,0.384,NA,NA,yes,Altered environment,Metabolism,Glycolysis/Gluconeogenesis,Amphibolic,COG0057,Carbon,"glyceraldehyde-3-phosphate dehydrogenase, type I"
SPO0983,0.815,0.754,0.877,0.032,0.714,0.897,0,0.943,0.906,0.973,0.018,0.863,0.985,0,0.917,0.882,0.96,0.02,0.863,0.991,0,0.962,0.927,0.991,0.017,0.898,1.003,0,lepA,GTP-binding protein LepA,SPO_RS04950,0,0.208,0.168,0.237,NA,NA,yes,Altered environment,Cell Cycle/Growth,Transcription/Ribosome,Anabolic,COG0481,translation,GTP-binding protein LepA
SPO1261,1.16,1.026,1.362,0.111,1.026,1.362,1585,1.172,1.106,1.243,0.038,1.106,1.243,1500,1.14,0.945,1.284,0.11,0.945,1.284,1498,0.919,0.904,0.933,0.014,0.904,0.933,5887,SPO1261,"transcriptional regulator, MarR family",SPO_RS06425,2617.5,0.015,-0.025,-0.333,NA,NA,yes,Regulation/Signaling,,,NA,NA,NA,NA
SPO1264,0.893,0.847,0.938,0.023,0.816,0.956,0,0.99,0.932,1.049,0.03,0.886,1.081,0,0.964,0.915,1.011,0.025,0.875,1.042,0,1.029,0.989,1.068,0.02,0.968,1.084,0,aspC-2,aspartate aminotransferase,SPO_RS06440,0,0.147,0.109,0.202,NA,NA,yes,Crossfeeding,Amino Acid,Aspartate,Anabolic,COG0436,AA,aspartate aminotransferase
SPO1727,1.11,0.997,1.245,0.064,0.948,1.356,0,0.892,0.303,1.252,0.249,0,1.395,0,1.017,0.923,1.12,0.051,0.861,1.212,0,0.243,0,0.725,0.209,0,0.932,9,SPO1727,"polyphosphate kinase 2, putative",SPO_RS08790,2.25,-0.312,-0.125,-2.146,NA,NA,yes,Competition,"Storage, phosphorus",Polyphosphate,Catabolic,COG2326,Energy,"polyphosphate kinase 2, putative"
SPO2041,0.057,0,0.142,0.037,0,0.192,0,0.141,0.04,0.229,0.047,0,0.275,0,0.123,0,0.248,0.062,0,0.267,0,0.283,0.224,0.362,0.036,0.199,0.416,0,SPO2041,B12 reduction/reactivation protein,SPO_RS10355,0,1.172,0.989,2.129,NA,NA,yes,Crossfeeding,Cofactor,B12,NA,NA,NA,NA
SPO2049,1.015,1.001,1.031,0.008,0.995,1.044,0,0.926,0.858,0.997,0.035,0.843,1.034,0,0.962,0.934,0.985,0.013,0.911,0.996,0,0.927,0.906,0.951,0.012,0.896,0.97,0,SPO2049,radical SAM domain protein,SPO_RS10395,0,-0.131,-0.077,-0.13,NA,NA,yes,NA,,,NA,NA,NA,NA
SPO2136,0.946,0.909,0.979,0.018,0.888,0.999,0,1.037,1.009,1.066,0.015,0.995,1.082,0,1.014,0.998,1.029,0.008,0.987,1.037,0,1.037,1.027,1.047,0.005,1.019,1.053,0,nrdJ,"ribonucleoside-diphosphate reductase, adenosylcobalamin-dependent",SPO_RS10830,0,0.131,0.099,0.131,NA,NA,yes,Crossfeeding,Nucleotide,B12,NA,NA,NA,NA
SPO2198,0.186,0,0.376,0.093,0,0.421,0,0.276,0.049,0.514,0.119,0,0.637,0,0.322,0.102,0.54,0.114,0,0.578,0,0.711,0.573,0.852,0.07,0.519,0.926,0,gap-3,"glyceraldehyde-3-phosphate dehydrogenase, type I",SPO_RS11145,0,0.545,0.76,1.879,NA,NA,yes,Altered environment,Metabolism,Glycolysis,Amphibolic,COG0057,Carbon,glyceraldehyde-3-phosphate dehydrogenase (NAD+) (EC 1.2.1.12)
SPO2286,0.969,0.935,0.994,0.016,0.906,1.005,0,1.049,1.012,1.101,0.023,1,1.133,0,1.024,0.986,1.059,0.019,0.961,1.079,0,1.062,1.028,1.099,0.018,1.013,1.124,0,luxR-2,autoinducer-binding transcriptional regulator LuxR,SPO_RS11590,0,0.113,0.079,0.131,NA,NA,yes,Regulation/Signaling,,,NA,NA,NA,NA
SPO2306,1.713,1.598,1.788,0.072,1.598,1.788,3140,1.619,1.517,1.686,0.064,1.517,1.686,3136,NA,NA,NA,NA,NA,NA,10000,1.459,1.314,1.557,0.063,1.296,1.557,358,SPO2306,hypothetical protein,SPO_RS23105,4158.5,-0.081,NA,-0.23,NA,NA,yes,Hypothetical,,,NA,NA,NA,NA
SPO2340,0.166,0,0.359,0.095,0,0.473,0,0.551,0.504,0.598,0.025,0.469,0.645,0,0.45,0.326,0.56,0.061,0.241,0.608,0,0.728,0.624,0.824,0.052,0.561,0.871,0,sodB,"superoxide dismutase, Fe",SPO_RS11860,0,1.672,1.386,2.068,NA,NA,yes,Altered environment,Stress ROS,superoxide protection,,COG0605,Inorganics,"superoxide dismutase, Fe"
SPO2634,0,0,0,0,0,0,0,0.244,0,0.499,0.126,0,0.61,0,0,0,0,0,0,0,0,0.592,0.481,0.734,0.066,0.411,0.841,0,SPO2634,"sulfite reductase, putative",SPO_RS13360,0,4.667,0,5.912,NA,NA,yes,Crossfeeding,Sulfur Metabolism,Reduced sulfur,Anabolic,COG0155,Inorganics,"sulfite reductase, putative"
SPO2654,0,0,0,0,0,0,0,0.275,0,0.553,0.137,0,0.587,0,0.16,0,0.328,0.083,0,0.402,0,0.735,0.66,0.816,0.04,0.606,0.876,0,pyrE,orotate phosphoribosyltransferase,SPO_RS13465,0,4.833,4.087,6.219,NA,NA,yes,Crossfeeding,Nucleotide,Pyrimidine,Anabolic,COG0461,nucleotide,orotate phosphoribosyltransferase (EC 2.4.2.10)
SPO2820,0.83,0.758,0.912,0.04,0.734,0.988,0,1.005,0.943,1.075,0.034,0.914,1.132,0,0.996,0.951,1.043,0.024,0.917,1.082,0,1.069,1.024,1.117,0.025,0.99,1.158,0,pntA,"NAD(P) transhydrogenase, alpha subunit",SPO_RS14325,0,0.273,0.26,0.361,NA,NA,yes,Altered environment,Energy,Aerobic Respiration,Anabolic,COG3288,Energy,NAD(P) transhydrogenase subunit alpha
SPO2906,0.599,0.497,0.7,0.052,0.441,0.744,0,0.828,0.755,0.909,0.04,0.72,0.976,0,0.786,0.663,0.87,0.054,0.584,0.909,0,0.92,0.881,0.966,0.022,0.862,1.017,0,SPO2906,hypothetical protein,SPO_RS14745,0,0.461,0.386,0.611,NA,NA,yes,Hypothetical,,,NA,NA,NA,NA
SPO2958,0.398,0.3,0.533,0.062,0.277,0.629,0,0.533,0.328,0.713,0.096,0.224,0.803,0,0.55,0.37,0.657,0.078,0.264,0.677,0,0.751,0.707,0.789,0.021,0.674,0.809,0,SPO2958,inositol monophosphatase family protein,SPO_RS15000,0,0.412,0.457,0.899,NA,NA,yes,Crossfeeding,Amino Acid,Histidine,Anabolic,COG0483,Carbon,inositol monophosphatase family protein
SPO2965,0.786,0.738,0.842,0.027,0.71,0.9,0,0.919,0.869,0.976,0.028,0.846,1.032,0,0.909,0.832,0.985,0.039,0.778,1.042,0,1.016,0.961,1.072,0.029,0.928,1.126,0,rpmG,ribosomal protein L33,SPO_RS15035,0,0.223,0.207,0.366,NA,NA,yes,Altered environment,Cell Cycle/Growth,Transcription/Ribosome,Anabolic,COG0267,translation,LSU ribosomal protein L33P
SPO3094,1.045,1.019,1.07,0.013,0.999,1.087,0,0.974,0.934,1.015,0.02,0.917,1.037,0,0.97,0.95,0.991,0.011,0.935,1.003,0,0.963,0.948,0.977,0.007,0.937,0.986,0,SPO3094,"lipoprotein, putative",SPO_RS15680,0,-0.101,-0.106,-0.117,NA,NA,yes,NA,,,NA,NA,NA,NA
SPO3169,0.47,0.428,0.512,0.021,0.407,0.536,0,0.534,0.437,0.63,0.05,0.396,0.679,0,0.488,0.428,0.557,0.034,0.412,0.603,0,0.629,0.592,0.666,0.019,0.569,0.689,0,clpA,"ATP-dependent Clp protease, ATP-binding subunit ClpA",SPO_RS16055,0,0.181,0.053,0.413,NA,NA,yes,NA,,,NA,NA,NA,NA
SPO3278,0,0,0,0,0,0,0,0.303,0.093,0.507,0.108,0,0.625,0,0.263,0.083,0.398,0.081,0,0.446,0,0.511,0.355,0.67,0.08,0.297,0.775,0,pyrF,orotidine 5'-phosphate decarboxylase,SPO_RS16600,0,4.968,4.771,5.703,NA,NA,yes,Crossfeeding,Nucleotide,Pyrimidine,Anabolic,COG0284,nucleotide,orotidine-5'-phosphate decarboxylase (EC 4.1.1.23)
SPO3282,0.637,0.526,0.738,0.056,0.435,0.826,0,0.882,0.816,0.958,0.036,0.784,1.016,0,0.807,0.749,0.875,0.032,0.727,0.93,0,0.916,0.858,0.983,0.032,0.832,1.039,0,SPO3282,N-formylglutamate amidohydrolase family protein,SPO_RS16620,0,0.463,0.337,0.517,NA,NA,yes,NA,,,,COG3741,AA,N-formylglutamate amidohydrolase family protein
SPO3327,0.931,0.915,0.946,0.008,0.901,0.955,0,0.966,0.938,0.991,0.014,0.917,1.007,0,0.961,0.911,0.996,0.022,0.875,1.01,0,1.008,0.984,1.035,0.013,0.97,1.056,0,SPO3327,creatinase,SPO_RS16855,0,0.053,0.045,0.113,NA,NA,yes,Central Metabolism,Catabolism,Creatine,Catabolic,COG0006,AA,creatinase
SPO3420,0.971,0.939,1.004,0.017,0.919,1.029,0,1.001,0.959,1.045,0.022,0.931,1.076,0,0.948,0.923,0.977,0.014,0.908,1.003,0,1.083,1.054,1.115,0.016,1.034,1.141,0,SPO3420,hypothetical protein,SPO_RS17315,0,0.043,-0.034,0.156,NA,NA,yes,Hypothetical,,,NA,NA,NA,NA
SPO3872,0.656,0.624,0.686,0.016,0.594,0.698,0,0.72,0.702,0.737,0.009,0.686,0.748,0,0.688,0.625,0.747,0.031,0.587,0.783,0,0.772,0.733,0.81,0.02,0.711,0.835,0,SPO3872,hypothetical protein,SPO_RS19650,0,0.132,0.068,0.232,NA,NA,yes,Hypothetical,,,NA,NA,NA,NA
SPOA0112,0.917,0.885,0.946,0.016,0.856,0.962,0,0.996,0.972,1.027,0.014,0.958,1.049,0,0.951,0.92,0.975,0.014,0.896,0.984,0,0.998,0.978,1.019,0.011,0.966,1.04,0,feaB,phenylacetaldehyde dehydrogenase,SPO_RS20390,0,0.118,0.052,0.121,NA,NA,yes,Central Metabolism,Catabolism,Phenylalanine,Catabolic,COG1012,Energy,aldehyde dehydrogenase (acceptor) (EC 1.2.99.3)
