spo,gene,funct,NCBI,meanW_rpomAlone,semW_rpomAlone,meanW_vib,semW_vib,meanW_mari,semW_mari,meanW_CC,semW_CC,Vib_fold_diff,pval_vib,padj_vib,Mari_fold_diff,pval_mari,padj_mari,CC_fold_diff,pval_cc,padj_cc
SPO0800,SPO0800,choline sulfatase,SPO_RS04035,0.78,0.05,0.86,0.05,0.91,0.02,0.94,0.01,0.14,0.208,1,0.22,0.0264,0.367871698,0.27,0,0
SPO0801,fadD,4-coumarate:CoA ligase,SPO_RS04040,0.98,0.03,0.83,0.02,0.95,0.04,0.94,0.02,-0.24,0,0,-0.044,0.4914,1,-0.06,0.5866,1
SPO0802,rpsA,ribosomal protein S1,SPO_RS04045,NA,NA,NA,NA,NA,NA,1.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPO0803,SPO0803,NUDIX domain protein,SPO_RS04050,0.86,0.04,0.99,0.19,1.07,0.22,0.69,0.39,0.2,0.6926,1,0.31,0.3452,1,-0.31,0.5844,1
SPO0806,trpF,N-(5'phosphoribosyl)anthranilate isomerase,SPO_RS04065,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,2,1
SPO0807,SPO0807,hypothetical protein,,0.87,0.11,1.01,0.05,0.89,0.08,0.91,0.04,0.21,0.4252,1,0.032,1.1188,1,0.064,0.8098,1
SPO0808,trpB,"tryptophan synthase, beta subunit",SPO_RS04075,0.29,0.18,0,0,0.17,0.17,0.14,0.14,-4.9,0.4264,1,-0.74,0.4316,1,-1,0.434,1
SPO0809,SPO0809,hypothetical protein,SPO_RS04080,1.02,0.06,1.03,0.04,1.02,0.02,1.01,0.08,0.014,0.9976,1,0,1.0748,1,-0.014,0.9636,1
SPO0810,SPO0810,"6-aminohexanoate-dimer hydrolase, putative",SPO_RS04085,1.03,0.02,1,0.05,1,0.03,1,0.02,-0.042,0.8108,1,-0.042,1.0006,1,-0.042,1.2198,1
SPO0811,pth,peptidyl-tRNA hydrolase,SPO_RS04090,1.15,0.22,1.32,0.44,1.11,0.22,1.18,0.1,0.2,1.0192,1,-0.051,0.6836,1,0.037,1.0376,1
SPO0812,rplY,ribosomal protein L25,SPO_RS04095,0,NA,0,NA,0,NA,0,NA,0,2,1,0,2,1,0,2,1
SPO0813,SPO0813,"L-lactate dehydrogenase, putative",SPO_RS04100,0.91,0.04,0.94,0.01,0.92,0.02,0.97,0.02,0.046,0.4928,1,0.016,0.836,1,0.091,0.2536,1
SPO0814,SPO0814,MaoC domain protein,SPO_RS04105,0.98,0.05,0.96,0.07,1.04,0.02,1.01,0.03,-0.029,0.9982,1,0.085,0.831,1,0.043,0.9424,1
SPO0816,SPO0816,hypothetical protein,SPO_RS04115,0.94,0.08,0.98,0.04,0.96,0.04,0.94,0.04,0.06,0.6364,1,0.03,0.7832,1,0,0.7734,1
SPO0817,ychF,GTP-binding protein YchF,SPO_RS04120,0.66,0.22,0.98,0.13,1,0.06,0.99,0.03,0.56,0.2902,1,0.59,0.1474,0.91598408,0.58,0.0306,0.327571186
SPO0818,SPO0818,MAPEG family protein,SPO_RS04125,0.91,0.02,0.94,0.02,0.89,0.03,0.94,0.03,0.046,0.37,1,-0.032,0.5934,1,0.046,0.5854,1
SPO0819,SPO0819,amidohydrolase domain protein,SPO_RS04130,0.9,0.09,0.98,0.06,0.88,0.05,0.76,0.03,0.12,0.527,1,-0.032,0.9004,1,-0.24,0.2198,1
SPO0820,SPO0820,CAIB/BAIF family protein,SPO_RS04135,1.02,0.03,1.04,0.04,1.03,0.04,1,0.01,0.028,1.015,1,0.014,1.0064,1,-0.028,1.017,1
SPO0821,SPO0821,"transcriptional regulator, MarR family",SPO_RS04140,1,0.02,1.01,0.04,1.02,0.02,0.96,0.04,0.014,0.786,1,0.028,0.9674,1,-0.058,0.3712,1
SPO0822,SPO0822,"branched-chain amino acid ABC transporter, ATP-binding protein",SPO_RS04145,0.99,0.04,0.95,0.06,1.02,0.02,0.99,0.03,-0.059,0.5914,1,0.043,0.9336,1,0,0.818,1
SPO0823,SPO0823,"branched-chain amino acid ABC transporter, ATP-binding protein",SPO_RS04150,0.98,0.09,1.05,0.06,1.03,0.05,0.97,0.1,0.099,0.716,1,0.071,0.7066,1,-0.015,0.9118,1
SPO0824,SPO0824,"branched-chain amino acid ABC transporter, permease protein",SPO_RS04155,0.99,0.05,0.99,0.05,0.97,0.03,0.94,0.03,0,0.8722,1,-0.029,0.7894,1,-0.074,0.3754,1
SPO0825,SPO0825,"branched-chain amino acid ABC transporter, periplasmic substrate-binding protein",SPO_RS04160,0.93,0.04,0.72,0.25,1.06,0.06,0.88,0.05,-0.36,0.645,1,0.19,0.2244,1,-0.079,0.4546,1
SPO0826,SPO0826,hypothetical protein,SPO_RS04165,0.96,0.04,0.93,0.02,0.9,0.04,0.92,0.06,-0.045,0.3926,1,-0.092,0.2942,1,-0.061,0.4224,1
SPO0827,SPO0827,hypothetical protein,SPO_RS04170,0.97,0.05,0.98,0.01,0.96,0.03,0.9,0.03,0.015,1.0304,1,-0.015,0.7732,1,-0.11,0.259,1
SPO0828,SPO0828,hypothetical protein,SPO_RS04175,0.93,0.07,1,0.03,1,0.04,0.96,0.02,0.1,0.295,1,0.1,0.2934,1,0.045,0.5044,1
SPO0829,SPO0829,hypothetical protein,SPO_RS04180,0.96,0.03,1.01,0.05,1.04,0.02,1,0.04,0.073,0.5078,1,0.11,0.457,1,0.058,0.4632,1
SPO0830,SPO0830,"xanthine dehydrogenase family protein, small/large subunits",SPO_RS04185,0.98,0.06,1.01,0.02,0.94,0,0.9,0.02,0.043,0.6296,1,-0.06,0.8354,1,-0.12,0.3736,1
SPO0831,SPO0831,"xanthine dehydrogenase family protein, medium subunit",SPO_RS04190,0.96,0.09,0.92,0.1,1.01,0.11,1,0.07,-0.061,0.545,1,0.073,0.6448,1,0.058,0.6994,1
SPO0832,SPO0832,"transcriptional regulator, LysR family",SPO_RS04195,1,0.01,0.95,0.05,0.9,0.06,0.86,0.07,-0.073,0.265,1,-0.15,0.1418,0.91598408,-0.22,0.141,0.83493913
SPO0833,SPO0833,"formate dehydrogenase, beta subunit",SPO_RS04200,1.08,0.02,1.03,0.02,1.04,0.01,1.06,0.01,-0.068,0.0292,0.340563253,-0.054,0,0,-0.027,1.5784,1
SPO0834,SPO0834,"formate dehydrogenase, alpha subunit",SPO_RS04205,1,0.02,1.01,0.02,1.02,0.01,0.98,0.03,0.014,0.728,1,0.028,0,0,-0.029,0.8722,1
SPO0835,SPO0835,"cyclase, putative",SPO_RS04210,1.09,0.02,1.05,0.05,1.14,0.02,1.1,0.05,-0.053,0,0,0.064,0.989,1,0.013,1.004,1
SPO0836,SPO0836,hypothetical protein,SPO_RS04215,1.08,0,1.03,0.05,1.12,0.05,1.07,0.04,-0.068,0.1244,0.859173832,0.052,1.0016,1,-0.013,1.0004,1
SPO0837,SPO0837,hypothetical protein,SPO_RS04220,0.85,0.02,0.93,0.05,0.92,0.04,0.92,0.01,0.13,0.1894,1,0.11,0.2322,1,0.11,0.0294,0.327571186
SPO0839,SPO0839,exopolysaccharide biosynthesis domain protein,SPO_RS04230,1,0.08,0.99,0.04,0.99,0.02,0.99,0.05,-0.014,0.9982,1,-0.014,0.9696,1,-0.014,1.0062,1
SPO0840,SPO0840,"chain length determinant protein, putative",SPO_RS04235,0.96,0.02,0.96,0.03,0.97,0.03,0.94,0.03,0,0.6694,1,0.015,1.0878,1,-0.03,0.605,1
SPO0841,SPO0841,associated gene for polyketide biosynthesis,SPO_RS04240,1.01,0.03,0.96,0.02,0.97,0.04,0.97,0.03,-0.073,0.3868,1,-0.058,0.7002,1,-0.058,0.5824,1
SPO0842,SPO0842,associated gene for polyketide biosynthesis,SPO_RS04245,1.01,0.05,0.98,0.02,0.97,0.01,1.02,0.02,-0.043,0.7732,1,-0.058,0.6338,1,0.014,1.2682,1
SPO0844,SPO0844,hypothetical protein,SPO_RS04255,1,0.04,0.97,0.02,1.02,0.01,0.99,0.02,-0.044,0.642,1,0.028,1.1078,1,-0.014,0.7954,1
SPO0845,SPO0845,hypothetical protein,SPO_RS04260,0.96,0.03,0.89,0.03,0.94,0.01,0.88,0.04,-0.11,0.1504,0.876325984,-0.03,0.8056,1,-0.12,0.1878,0.964854684
SPO0847,SPO0847,polyketide synthase core protein; non-ribosomal protein-like T1PKS,SPO_RS04270,0.94,0.03,0.95,0.02,0.96,0.01,0.92,0.02,0.015,0.786,1,0.03,0.6082,1,-0.031,0.6138,1
SPO0848,SPO0848,"glycosyl transferase, group 2 family protein",SPO_RS04275,1,0.03,0.9,0.03,0.98,0.04,0.89,0.09,-0.15,0.0588,0.570251969,-0.029,0.5478,1,-0.17,0.4612,1
SPO0849,SPO0849,polyketide synthase core protein; non-ribosomal protein-like T1PKS,SPO_RS04280,0.95,0.01,0.95,0.01,0.92,0.03,0.95,0.03,0,1.003,1,-0.046,0.507,1,0,0.6446,1
SPO0850,SPO0850,hypothetical protein,SPO_RS04285,1.05,0.12,0.96,0.05,0.89,0.11,0.95,0.03,-0.13,0.3212,1,-0.24,0.2294,1,-0.14,0.2558,1
SPO0851,SPO0851,"glycosyl transferase, WecB/TagA/CpsF family",SPO_RS04290,0.57,0.29,0.84,0.09,0.7,0.07,0.8,0.11,0.55,0.4302,1,0.29,0.7532,1,0.48,0.4848,1
SPO0852,SPO0852,associated gene for polyketide biosynthesis,SPO_RS04295,0.92,0.09,0.96,0.08,0.96,0.07,0.97,0.05,0.061,0.5128,1,0.061,0.692,1,0.076,0.716,1
SPO0853,SPO0853,associated gene for polyketide biosynthesis,SPO_RS04300,1.06,0.05,0.98,0.11,0.99,0.07,0.97,0.12,-0.11,0.813,1,-0.098,1.0042,1,-0.13,0.7934,1
SPO0854,SPO0854,associated gene for polyketide biosynthesis,SPO_RS04305,0.84,0.15,0.98,0.08,1,0.03,0.9,0.1,0.22,0.446,1,0.25,0.3422,1,0.098,0.7458,1
SPO0855,xylB,xylulose kinase,SPO_RS04310,1.03,0.08,0.98,0.03,1,0.02,0.98,0.02,-0.071,1.059,1,-0.042,0.995,1,-0.071,0.779,1
SPO0856,xylA,xylose isomerase,SPO_RS04315,1.02,0.03,1,0.02,0.99,0.03,0.95,0.02,-0.028,1.1614,1,-0.043,0.9964,1,-0.1,0.2888,1
SPO0857,galM,aldose 1-epimerase,SPO_RS04320,0.98,0.06,0.95,0.05,0.97,0.05,0.98,0.03,-0.044,0.9232,1,-0.015,0.9462,1,0,1.0172,1
SPO0858,SPO0858,"methylamine utilization protein MauG, putative",SPO_RS04325,1.06,0.04,0.96,0.05,0.97,0.04,1.02,0.09,-0.14,0.0914,0.758750557,-0.13,0.1108,0.863558513,-0.055,0.2902,1
SPO0859,SPO0859,FG-GAP repeat domain protein,SPO_RS04330,1.15,0.09,1.14,0.04,1.1,0.09,1.12,0.09,-0.012,1.1714,1,-0.064,1.338,1,-0.038,0.9862,1
SPO0860,SPO0860,"xylose repressor, putative",SPO_RS04335,0.61,0.21,0.96,0.09,1,0.06,0.9,0.1,0.65,0.1172,0.839901923,0.7,0.0846,0.788454808,0.55,0.2638,1
SPO0861,xylF,"xylose ABC transporter, periplasmic xylose-binding protein",SPO_RS04340,1.05,0.07,1.02,0.03,1.01,0.05,0.94,0.03,-0.041,0.1672,0.95124256,-0.055,0.3148,1,-0.16,0.1138,0.764607042
SPO0862,xylH,"xylose ABC transporter, permease protein",SPO_RS04345,0.85,0.03,0.91,0.01,0.86,0.04,0.89,0.05,0.097,0.1332,0.874424961,0.017,0.8374,1,0.066,0.6062,1
SPO0863,xylG,"xylose ABC transporter, ATP-binding protein",SPO_RS04350,1.03,0.12,0.98,0.21,1.02,0.12,1.12,0.23,-0.071,0.9536,1,-0.014,0.9766,1,0.12,0.681,1
SPO0864,SPO0864,"glucokinase, putative",SPO_RS04355,1.08,0.04,0.98,0.06,1.02,0.06,1.04,0.06,-0.14,0.085,0.751316667,-0.082,0.277,1,-0.054,0.148,0.835724771
SPO0865,SPO0865,"oxidoreductase, Gfo/Idh/MocA family",SPO_RS04360,1.07,0.03,0.98,0.04,0.99,0.06,1.03,0.03,-0.13,0.0276,0.340563253,-0.11,0.1468,0.91598408,-0.054,0.031,0.327571186
SPO0866,SPO0866,"gamma-glutamyltranspeptidase, putative",SPO_RS04365,0.88,0.16,0.96,0.06,0.96,0.06,0.93,0.06,0.12,0.5588,1,0.12,0.7098,1,0.079,0.8064,1
SPO0867,SPO0867,hypothetical protein,SPO_RS04370,1,0.05,1.02,0.06,0.97,0.02,1.03,0.02,0.028,0.9228,1,-0.044,0.8006,1,0.042,0.9986,1
SPO0868,SPO0868,"outer membrane protein, OMP85 family",SPO_RS04375,0.96,0.04,0.95,0.03,0.95,0.03,0.95,0.02,-0.015,0.6576,1,-0.015,0.6638,1,-0.015,0.8262,1
SPO0869,SPO0869,hypothetical protein,SPO_RS04380,0.86,0.02,0.94,0.02,0.89,0.04,0.94,0.04,0.13,0.0298,0.340563253,0.049,0.6234,1,0.13,0.205,0.964854684
SPO0870,SPO0870,"transcriptional regulator, LysR family",SPO_RS04385,0.99,0.05,1,0.05,1.03,0.04,0.97,0.04,0.014,1.1748,1,0.057,1.0026,1,-0.029,0.6582,1
SPO0872,SPO0872,uricase,SPO_RS04395,0.97,0.03,0.95,0.01,0.96,0.02,0.92,0.04,-0.03,0.6888,1,-0.015,1.016,1,-0.076,0.319,1
SPO0873,allA,Ureidoglycolate hydrolase,SPO_RS04400,0.85,0.11,0.65,0.05,0.85,0.05,0.84,0.05,-0.38,0.1776,0.960160584,0,1.0184,1,-0.017,0.8834,1
SPO0874,SPO0874,xanthine/uracil permease family protein,SPO_RS04405,1.01,0.05,0.92,0.08,1.02,0.04,0.98,0.06,-0.13,0.5476,1,0.014,1.0128,1,-0.043,0.7492,1
SPO0875,gap-2,"glyceraldehyde-3-phosphate dehydrogenase, type I",SPO_RS04410,0.63,0.04,0.75,0.03,0.67,0.03,0.83,0.02,0.25,0.088,0.75421968,0.087,0.5068,1,0.39,0,0
SPO0876a,SPO0876a,hypothetical protein,SPO_RS04420,0.96,0.06,0.93,0.08,0.93,0.06,0.94,0.03,-0.045,0.6804,1,-0.045,0.6664,1,-0.03,0.8078,1
SPO0877,SPO0877,hypothetical protein,SPO_RS22405,0.97,0.06,1,0.01,0.99,0,0.95,0.03,0.044,0.7236,1,0.029,0.644,1,-0.03,0.628,1
SPO0878,gcvH-1,glycine cleavage system H protein,SPO_RS04430,1.06,0.05,0.96,0.06,1.01,0.04,0.96,0.06,-0.14,0.0298,0.340563253,-0.069,0.1456,0.91598408,-0.14,0.1474,0.835724771
SPO0879,SPO0879,acyl-CoA dehydrogenase family protein,SPO_RS04435,0.87,0.06,0.96,0.03,0.9,0.03,0.9,0.04,0.14,0.3698,1,0.048,0.7028,1,0.048,0.5886,1
SPO0880,SPO0880,hypothetical protein,SPO_RS04440,1.02,0.06,1.04,0.04,1.03,0.04,0.98,0.07,0.028,0.9946,1,0.014,1.0018,1,-0.057,1.0072,1
SPO0881,SPO0881,hypothetical protein,SPO_RS22765,0.95,0.01,0.92,0.02,0.96,0.02,0.92,0.04,-0.046,0.3214,1,0.015,0.6254,1,-0.046,0.5288,1
SPO0882,SPO0882,hypothetical protein,,0.98,0.05,1.09,0.01,1.03,0.05,0.99,0.09,0.15,0,0,0.071,0.7778,1,0.014,0.9112,1
SPO0883,SPO0883,hypothetical protein,SPO_RS04450,1,0.01,1,0.01,0.97,0.03,1.02,0.03,0,1.2604,1,-0.044,0.3482,1,0.028,1.0184,1
SPO0884,SPO0884,hypothetical protein,SPO_RS04455,1.03,0.04,1.02,0.04,1.01,0.03,1.02,0.01,-0.014,0.9994,1,-0.028,0.9988,1,-0.014,0.9986,1
SPO0885,SPO0885,"hydrolase, alpha/beta fold family",SPO_RS04460,1.11,0.12,1.05,0.12,1.15,0.09,1.16,0.07,-0.079,0.998,1,0.051,0.504,1,0.063,0.5182,1
SPO0887,groEL,"chaperonin, 60 kDa",SPO_RS04470,1.04,0.01,0.5,0.5,0.44,0.44,0.42,0.42,-1,0.5174,1,-1.2,0.3286,1,-1.3,0.3478,1
SPO0888,SPO0888,"acetyltransferase, GNAT family",,1.02,0.03,1.08,0.03,1.05,0.04,1.02,0.07,0.082,0,0,0.041,0.1416,0.91598408,0,1.0232,1
SPO0889,SPO0889,hypothetical protein,SPO_RS04480,1,0.07,1.03,0.05,1.04,0.03,0.97,0.04,0.042,1.0004,1,0.056,1.0154,1,-0.044,0.8014,1
SPO0890,SPO0890,"lipase, putative",SPO_RS04485,0.79,0.31,1.11,0.13,1.06,0.07,1.02,0.14,0.49,0.407,1,0.42,0.489,1,0.36,0.6192,1
SPO0891,SPO0891,"alkylphosphonate utilization protein PhnM, putative",SPO_RS04490,1.07,0.04,1.02,0.04,0.99,0.01,1.03,0.04,-0.068,0.1142,0.839901923,-0.11,0,0,-0.054,0.0258,0.327571186
SPO0892,purK,"phosphoribosylaminoimidazole carboxylase, ATPase subunit",SPO_RS04495,0.2,0.06,0.31,0.11,0.19,0.08,0.36,0.04,0.61,0.365,1,-0.07,0.904,1,0.82,0.0842,0.704954447
SPO0893,purE,"phosphoribosylaminoimidazole carboxylase, catalytic subunit",SPO_RS04500,0.14,0.14,0.14,0.14,0,0,0,0,0,1.0258,1,-3.9,0.171,0.990676056,-3.9,0.1708,0.918720346
SPO0894,SPO0894,hypothetical protein,SPO_RS04505,1.1,0.05,0.92,0.04,1.05,0.03,0.99,0.06,-0.26,0.0232,0.340563253,-0.066,0.119,0.863558513,-0.15,0.288,1
SPO0895,SPO0895,"heat shock protein, Hsp20 family",SPO_RS04510,0.92,0.04,1,0.03,0.99,0.03,0.9,0.06,0.12,0.1718,0.95124256,0.1,0.2822,1,-0.031,0.7774,1
SPO0897,SPO0897,"phenazine biosynthesis protein, PhzF family",SPO_RS04520,1.04,0.02,1.01,0.04,1.04,0,1.06,0.03,-0.042,0.985,1,0,1.0012,1,0.027,1.009,1
SPO0898,SPO0898,hypothetical protein,SPO_RS04525,1.08,0.02,1.04,0.01,1.04,0.02,1.08,0.02,-0.054,0,0,-0.054,0,0,0,1.56,1
SPO0899,SPO0899,hypothetical protein,SPO_RS04530,1.02,0.03,1,0.01,1,0.01,1,0.02,-0.028,0.6532,1,-0.028,0.8524,1,-0.028,0.6368,1
SPO0900,sat,sulfate adenylyltransferase,SPO_RS04535,0.12,0.07,0.58,0.21,0.06,0.06,0.27,0.17,2.2,0.0552,0.560340659,-0.89,0.7214,1,1.1,0.5332,1
SPO0901,SPO0901,adenylate/guanylate cyclase,SPO_RS04540,1.02,0.03,1.04,0.02,1,0.05,0.97,0.04,0.028,1.0126,1,-0.028,1.0982,1,-0.072,0.3688,1
SPO0902,SPO0902,hypothetical protein,,0.92,0.11,0.73,0.15,0.99,0.1,0.93,0.07,-0.33,0.397,1,0.1,0.6964,1,0.015,0.9968,1
SPO0903,trxB,thioredoxin-disulfide reductase,SPO_RS04550,0,0,0,0,0,0,0.48,0.48,0,2,1,0,2,1,5.6,0.3874,1
SPO0904,SPO0904,"leucine-responsive regulatory protein, putative",SPO_RS04555,0.6,0.06,0.69,0.02,0.71,0.07,0.69,0.03,0.2,0.3154,1,0.24,0.32,1,0.2,0.2458,1
SPO0905,SPO0905,hypothetical protein,SPO_RS04560,1,0.05,0.92,0.04,0.96,0.02,0.88,0.04,-0.12,0.304,1,-0.058,0.656,1,-0.18,0.142,0.83493913
SPO0906,SPO0906,putative protein TIGR00726,SPO_RS04565,1.05,0.04,1.07,0.03,1,0.04,1.01,0.03,0.027,0,0,-0.07,0.8872,1,-0.055,1.078,1
SPO0907,SPO0907,hypothetical protein,SPO_RS04570,0,NA,0,NA,0.62,NA,0,NA,0,2,1,6,0.8648,1,0,2,1
SPO0910,SPO0910,hypothetical protein,SPO_RS04585,1.09,0.01,1.03,0.02,1.01,0.02,1.02,0.02,-0.081,0,0,-0.11,0.0234,0.367871698,-0.095,0,0
SPO0911,proC,pyrroline-5-carboxylate reductase,SPO_RS04590,0.38,0.04,0.59,0.06,0.48,0.1,0.34,0.14,0.62,0.0256,0.340563253,0.33,0.4528,1,-0.16,0.7686,1
SPO0912,csaA,chaperonin csaA,SPO_RS04595,0.46,0.27,0.74,0.27,0.86,0.07,0.75,0.26,0.67,0.576,1,0.89,0.2586,1,0.69,0.4012,1
SPO0913,SPO0913,D-isomer specific 2-hydroxyacid dehydrogenase family protein,SPO_RS04600,1.05,0.01,1.06,0.02,1.02,0.01,1.01,0.03,0.014,0,0,-0.041,1.5708,1,-0.055,0.9996,1
SPO0914,tdk,thymidine kinase,SPO_RS04605,1.11,0.06,1.07,0.09,1.02,0.06,1.06,0.04,-0.052,1.002,1,-0.12,0.2766,1,-0.066,0.9942,1
SPO0915,SPO0915,hypothetical protein,SPO_RS04610,1.01,0.03,1.02,0.02,1.04,0.01,1.01,0.05,0.014,1.0058,1,0.042,1.3442,1,0,0.9328,1
SPO0916,SPO0916,hypothetical protein,SPO_RS04615,0.86,0.06,1,0.04,0.95,0.03,0.93,0.03,0.22,0.0522,0.538768156,0.14,0.26,1,0.11,0.3434,1
SPO0917,SPO0917,glyoxalase family protein,SPO_RS04620,0.94,0.06,0.95,0.04,1.02,0.03,0.99,0.16,0.015,0.998,1,0.12,0.5012,1,0.074,0.8314,1
SPO0918,fabH-1,3-oxoacyl-[acyl-carrier-protein] synthase III,SPO_RS04625,1.01,0.02,0.99,0.04,0.99,0.01,1.01,0.02,-0.029,0.995,1,-0.029,0.5408,1,0,0.8664,1
SPO0919,SPO0919,"transcriptional regulator, MarR family",SPO_RS04630,1.22,0.09,1.04,0.06,1.03,0.06,1.12,0.07,-0.23,0.4612,1,-0.24,0.125,0.886494253,-0.12,0.318,1
SPO0920,SPO0920,"efflux transporter, RND family, MFP subunit",SPO_RS04635,0.92,0.08,1,0.06,0.85,0.05,0.86,0.08,0.12,0.48,1,-0.11,0.5602,1,-0.096,0.5886,1
SPO0921,SPO0921,"transporter, AcrB/AcrD/AcrF family",SPO_RS04640,0.98,0.01,1.02,0.03,1,0.02,1.01,0.02,0.057,0.8336,1,0.029,0.7384,1,0.043,0.5718,1
SPO0922,SPO0922,hypothetical protein,SPO_RS04645,1.06,0.1,1.07,0.05,1.02,0.07,0.98,0.02,0.013,0.9864,1,-0.055,0.3972,1,-0.11,0.2988,1
SPO0923,carB,"carbamoyl-phosphate synthase, large subunit",SPO_RS04650,1.09,NA,0.62,NA,0.51,NA,0.88,NA,-0.8,0.8504,1,-1.1,0.8486,1,-0.31,0.869,1
SPO0925,SPO0925,hypothetical protein,SPO_RS04660,1.02,0.1,0.94,0.06,0.98,0.1,0.9,0.06,-0.12,0.6534,1,-0.057,0.885,1,-0.18,0.5226,1
SPO0927,SPO0927,hypothetical protein,,1,0.05,1.03,0.02,1,0.03,0.94,0.02,0.042,0.9982,1,0,0.9836,1,-0.088,0.2848,1
SPO0928,SPO0928,hypothetical protein,SPO_RS04670,1.05,0.06,1.06,0.04,1.02,0.06,1.08,0.05,0.014,0.2134,1,-0.041,1.0036,1,0.04,0.2264,1
SPO0929,SPO0929,"type II DNA modification methyltransferase, putative",SPO_RS04675,1.21,0.08,0.83,0.16,1.1,0.06,1.09,0.09,-0.54,0,0,-0.14,0.3044,1,-0.15,0.4598,1
SPO0930,SPO0930,hypothetical protein,,1,0.08,0.93,0.06,1,0.04,0.5,0.22,-0.1,0.5808,1,0,0.983,1,-0.99,0.1034,0.764607042
SPO0931,SPO0931,response regulator,SPO_RS04680,0.9,0.53,1.29,0.04,1.13,0.12,0.9,0.33,0.51,0.1916,1,0.33,0.6702,1,0,1.2156,1
SPO0932,SPO0932,methylmalonyl-CoA epimerase,SPO_RS04685,0.14,0.14,0.52,0.18,0.35,0.21,0.34,0.2,1.8,0.1492,0.874424961,1.3,0.137,0.91598408,1.2,0.4268,1
SPO0933,SPO0933,hypothetical protein,SPO_RS04690,0.9,0.08,0.91,0.12,0.99,0.06,0.81,0.12,0.016,0.9992,1,0.14,0.6584,1,-0.15,0.5928,1
SPO0934,SPO0934,hypothetical protein,SPO_RS04695,1.08,0.03,1,0.05,0.98,0.02,0.99,0.03,-0.11,0.2794,1,-0.14,0,0,-0.12,0.1108,0.764607042
SPO0935,SPO0935,nitroreductase family protein,SPO_RS04700,1.1,0.04,1.02,0.03,1.04,0.02,0.98,0.03,-0.11,0.0294,0.340563253,-0.08,0.027,0.367871698,-0.17,0,0
SPO0936,SPO0936,hypothetical protein,SPO_RS22770,0.91,0.23,1.07,0.21,0.76,0.38,0.95,0.02,0.23,0.532,1,-0.26,0.8244,1,0.061,0.9704,1
SPO0937,SPO0937,hypothetical protein,SPO_RS04705,0.98,0.03,1,0.02,0.97,0.07,0.97,0.04,0.029,0.9864,1,-0.015,0.6904,1,-0.015,0.598,1
SPO0939,SPO0939,"peptidase, M48 family",SPO_RS04715,1.08,0.05,1.04,0.08,1.06,0.07,1.09,0.09,-0.054,0.2948,1,-0.027,1,1,0.013,1.0132,1
SPO0940,SPO0940,hypothetical protein,SPO_RS04720,1.09,0.07,1.15,0.07,1.24,0.02,0.54,0.54,0.077,0.4918,1,0.18,0.563,1,-1,0.346,1
SPO0941,SPO0941,hypothetical protein,SPO_RS04725,0.98,0.33,0.99,0.18,1.03,0.18,1.23,0.11,0.014,0.942,1,0.071,1.012,1,0.32,0.7556,1
SPO0942,SPO0942,hypothetical protein,SPO_RS04730,1.07,0.03,1.05,0.06,1.07,0.04,1.08,0.02,-0.027,0,0,0,0.9954,1,0.013,1.5784,1
SPO0943,SPO0943,hypothetical protein,SPO_RS04735,0.51,0.22,0.86,0.15,0.9,0.08,1.04,0.08,0.74,0.1972,1,0.81,0.1684,0.985265831,1,0.1182,0.767057443
SPO0944,rimO,Ribosomal protein S12 methylthiotransferase RimO (EC 2.8.4.4),SPO_RS04740,1.04,0.01,1.05,0.01,1.03,0.03,1.03,0.02,0.014,1.0058,1,-0.014,0.9976,1,-0.014,1.0048,1
SPO0945,SPO0945,AsmA family protein,SPO_RS04745,1.1,0.01,1.04,0.04,1.06,0.02,1.04,0.02,-0.08,0,0,-0.053,0,0,-0.08,0,0
SPO0946,algC,phosphomannomutase/phosphoglucomutase,SPO_RS04750,0.74,0.03,0.7,0.03,0.78,0.04,0.79,0.07,-0.079,0.3504,1,0.075,0.4974,1,0.093,0.5376,1
SPO0948,kpsE,"capsular polysaccharide export inner-membrane protein, BexC/CtrB/KpsE family",,0.93,0.06,0.95,0.04,1.02,0.06,0.97,0.05,0.03,0.9988,1,0.13,0.6704,1,0.06,0.81,1
SPO0949,kpsT,capsular polysaccharide export ATP-binding protein,SPO_RS04765,1,0.03,1.05,0.03,0.96,0.02,1.01,0.03,0.07,1.016,1,-0.058,0.4568,1,0.014,1.0772,1
SPO0950,SPO0950,"uracil-DNA glycosylase, putative",SPO_RS04770,0.81,0.16,0.93,0.1,0.86,0.02,1.01,0.06,0.2,0.5934,1,0.085,0.8996,1,0.31,0.3672,1
SPO0951,SPO0951,hypothetical protein,SPO_RS04775,1.1,0.07,1,0.07,1.03,0.06,1.02,0.07,-0.14,0.3918,1,-0.094,0.3516,1,-0.11,0.3396,1
SPO0952,SPO0952,hypothetical protein,,0.97,0.07,0.92,0.08,0.99,0.08,0.94,0.11,-0.076,0.7432,1,0.029,0.6628,1,-0.045,0.9928,1
SPO0953,SPO0953,hypothetical protein,SPO_RS04785,1.03,0.04,1,0.02,1.01,0.02,0.96,0.05,-0.042,1.2224,1,-0.028,0.9994,1,-0.1,0.367,1
SPO0954,SPO0954,hypothetical protein,SPO_RS04790,0.69,0.26,0.66,0.23,1.02,0.1,0.85,0.13,-0.063,0.8432,1,0.56,0.3444,1,0.3,0.7108,1
